Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0770~Synapse	48	5.510907003444316	4.2676311417022616E-7	GPM6A, GRIA2, SNAP25, ARF1, NRN1, CHRM1, RAB3A, DGKB, CLSTN3, CHRM4, ICA1, CPLX1, DRP2, RPH3A, TRIM9, CACNG8, NETO1, SV2B, SV2A, DLGAP1, ATP6V1E1, LZTS1, SH2D5, GRIA3, ATP6V0A1, PPFIA2, SYT5, PRKCG, CHRNB2, GABRA1, GABBR1, PRRT2, SVOP, NDFIP1, SLC30A3, SLC6A17, SYP, COPS4, SLC8A3, GAP43, ARHGEF9, OLFM3, SYT12, DMXL2, PLAA, ATP6V0C, STX1A, VAMP2	701	493	16024	2.2256006342721064	2.133793260528094E-5	2.133815570851131E-5	1.877757702348995E-5
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	49	5.625717566016074	9.293468785848943E-7	DMGDH, DHRS11, GLDC, OGDHL, TXNDC12, MPO, ALKBH6, ME3, BCKDHA, ST6GAL2, MECR, KMO, YWHAZ, ALDH5A1, MTHFD1, BDH1, ACOX1, IVD, NDUFS1, CYP2E1, GAPDH, DLD, TPH1, ALOX12B, PTGS2, PRDX2, LDHB, TPO, LDHA, CYP4X1, RDH12, DHRS7B, PNPO, CRYM, NDUFV2, MDH1B, CBR3, MDH1, MDH2, ADHFE1, IDH2, CYP4F11, ACADSB, GLUD1, GLUD2, PAH, PCYOX1L, ALDH18A1, PAM	439	571	10864	2.1236610829420473	8.270849009051062E-5	8.271187219405559E-5	8.17825253154707E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0324~Glycolysis	11	1.2629161882893225	9.865640298048484E-7	GPI, PKM, PGAM1, PGK1, ALDOC, OGDHL, ENO1, ALDOA, GAPDH, PFKM, HK1	431	35	10360	7.554524361948955	1.262722850904341E-4	1.262801958150206E-4	1.2332050372560605E-4
UP_SEQ_FEATURE	TRANSIT:Mitochondrion	47	5.39609644087256	1.5478482877268773E-6	DMGDH, SLC25A3, FH, MTFMT, ECHS1, NDUFB5, GLDC, RMND1, OGDHL, GHITM, TXN2, MRPL55, NLN, MRPL2, OPA1, OXCT1, ME3, NDUFV2, COX8A, BCKDHA, MCCC2, TSFM, MECR, IDH3G, MDH2, ADHFE1, IDH2, MRPS18A, IMMT, ACADSB, TUFM, CS, PDP1, MRPL30, OXA1L, GLUD1, GLUD2, SARS2, ALDH5A1, BDH1, DNAJC30, IVD, CMPK2, NDUFS1, UQCRC2, ACO2, DLD	771	518	18300	2.15359884620585	0.004413983443676717	0.004423750406323416	0.004416011164884781
UP_KW_CELLULAR_COMPONENT	KW-0968~Cytoplasmic vesicle	57	6.544202066590127	2.357747557654385E-6	PCSK1, EXOC3L1, RAB3A, CPNE6, ICA1, ABCC11, RPH3A, TRIM9, ATP6V1E1, PRKACA, TCP11, GBP6, OVGP1, GABARAPL1, ATP6V1G2, SLC30A8, SVOP, SLC6A17, SLC30A3, CCDC115, VPS33B, SYP, VGF, SCN8A, RAB35, SCG3, ATP6V0C, DLD, STX1A, VAMP2, ASTN1, SV2B, SV2A, VPS11, ATP6V1D, ELANE, ATP6V0A1, SYT5, IL33, GABRA1, PRRT2, NMNAT2, SORL1, RAB11A, COPS4, SYT12, CALY, DMXL2, LCN2, TRIM36, VIPAS39, ATP13A2, COPG1, REEP6, SEC24D, PAM, RAB5A	701	670	16024	1.944701598995039	1.1788056839601158E-4	5.8943688941359624E-5	5.187044626839647E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	122	14.006888633754306	2.761042498824967E-6	RAB3A, GOLT1B, SLC35B1, PITPNA, ABRA, TXN2, RPH3A, LAPTM4B, RABGEF1, SCN11A, OSBP, SLC16A6, CHP1, ATP6V1E1, SLC25A44, CHRNB2, ATP6V1G1, ATP6V1G2, SLC30A8, SLC6A17, SLC30A3, ATG9B, VPS33B, COG1, CACNB1, STX1B, TMX4, SCN8A, RAB35, CHMP4B, VDAC1, UQCRC2, LPA, VPS25, STX1A, GRIA2, ENY2, RAB5C, SLC45A1, KCNE5, TXN, HIGD1A, CPLX1, TMEM241, SLC9A1, APOO, KCNV1, VPS11, SLC38A7, NDUFV2, SCN3B, ATP6V1D, GRIA3, ATP6V0A1, KCNF1, TRAPPC1, OSBPL3, ALYREF, SLC16A14, SLC6A5, LCN2, FXYD7, RAB5A, ARF3, OSCP1, ARF1, SLC25A3, ICA1, CROT, ABCC11, KIF17, ABCC12, CHMP1B, SLC22A18, BBS5, BBS4, EIF5AL1, EIF5A, SVOP, TIMM23, SLC39A10, HTR3B, ANO3, ANO1, PEX7, CNGB3, NDUFS1, CLDN16, SLC25A5, ATP6V0C, SLC25A11, ARF5, NAPA, NDUFB5, DDX25, TIMM10, CACNG8, SV2B, SV2A, CACNG1, LRRC8B, CACNG3, SLC35A2, GABRA1, NDUFA7, NDUFA6, TRPA1, NDUFA5, KCNIP1, KCNB2, GBF1, SLC12A1, SORL1, RAB11A, SLC8A3, TTC8, ATP13A2, VIPAS39, COPG1, ESYT1, SEC24D, CRAT	431	1988	10360	1.4751151923139767	3.53351484403297E-4	1.767067199247979E-4	1.7256515617656044E-4
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	86	9.873708381171067	3.930415107571932E-6	DMGDH, NRP1, SLC25A3, MTFMT, GLDC, RMND1, CISD1, MPV17L2, OGDHL, GHITM, PHB2, HK1, TXN2, CHCHD2, MRPL2, OPA1, FAM162A, CHCHD6, ME3, PRKACA, SLC25A44, COX8A, BCKDHA, MCCC2, TSFM, MECR, RSAD2, MRPS25, ACSL6, MRPS18A, MRPS21, TIMM23, OLFM4, KMO, TUFM, OXA1L, SARS2, ALDH5A1, BDH1, DNAJC30, IVD, BOLA3, CMPK2, PFDN2, NDUFS1, VDAC1, CYP2E1, UQCRC2, LETMD1, FATE1, SLC25A5, DLD, SLC25A11, FH, ECHS1, NDUFB5, TIMM10, HIGD1A, MRPL55, NLN, APOO, LDHB, SAMM50, OXCT1, NDUFV2, NDUFA7, NDUFA6, NDUFA5, IDH3G, MDH2, ADHFE1, IDH2, DNAJC11, IMMT, ACADSB, SLC8A3, CS, PDP1, MRPL30, GLUD1, GLUD2, PNKD, APEX1, ACO2, ALDH18A1, CRAT	701	1189	16024	1.653367950866778	1.965018325704726E-4	6.55069184595322E-5	5.7646088244388335E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0816~Tricarboxylic acid cycle	8	0.9184845005740528	5.068747001057208E-5	CS, FH, MDH1, IDH3G, MDH2, IDH2, ACO2, MDH1B	431	25	10360	7.691879350348028	0.0064671579304399485	0.0021626653871177418	0.00211197791710717
UP_KW_CELLULAR_COMPONENT	KW-0999~Mitochondrion inner membrane	29	3.329506314580941	5.8583845786015E-5	SLC25A3, NDUFB5, MPV17L2, TIMM10, GHITM, HIGD1A, PHB2, APOO, LDHB, OPA1, CHCHD6, NDUFV2, COX8A, NDUFA7, NDUFA6, RSAD2, NDUFA5, TIMM23, IMMT, OXA1L, BDH1, DNAJC30, NDUFS1, ALDH18A1, UQCRC2, CYP2E1, SLC25A5, SLC25A11, CRAT	701	286	16024	2.3178476302584716	0.0029249919453804285	7.322980723251875E-4	6.44422303646165E-4
UP_KW_PTM	KW-0449~Lipoprotein	64	7.347876004592423	1.2735033275821758E-4	ARF3, SNAP25, ARF1, RAB3A, TFRC, DIRAS1, STMN3, ADRA1D, RND1, RGS4, SPRED3, RAB44, ARL5C, CHCHD6, CHP1, PRKACA, LZTS1, TECTA, RGS7, PRMT8, GABARAPL1, LYNX1, TACR2, PRKAB1, FRS3, F3, GFRA2, CLIP3, ARL4D, GAP43, VSNL1, CCKBR, RAB35, LANCL2, LPA, PLCB1, CAMK1G, ARF5, GPM6A, GRIA2, NRN1, RAB5C, HPCA, ZDHHC23, LRP8, NCALD, NEU3, CACNG8, GNG3, GPC1, RGS20, WNT1, GPC6, GRIA3, RFTN1, GPR3, NMNAT2, EFR3B, RAB11A, SELP, MARCKS, BFSP1, RAB5A, CDK5R2	588	880	13133	1.6243661100803957	0.0038134634843365323	0.003947860315504745	0.003565809317230092
