Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	272	34.17085427135678	5.760564352097685E-14	GABPB2, TRRAP, ZMYND8, KEAP1, EHMT1, IKZF2, RNF114, ZNF607, PPP4R2, ZXDC, RCC1, PWWP2A, ZNF600, FBXO5, PKNOX1, ARL6IP6, SAMD11, REV1, HUS1, EBF4, OVOL3, JMJD6, DDX39A, TEP1, ZC3H11A, DNA2, ATF4, RTEL1, ZNF394, ANAPC16, CTBP2, ZBTB1, ZBTB2, MGC16025, ZNF704, ZNF701, ZBED6, ZBED4, NHEJ1, BANP, ZNF143, CDT1, CREBBP, XRCC3, MICAL3, IRF2BP2, ZNF32, NFATC1, ALOX15B, POLA1, STAG1, CABYR, MEX3A, ZNF30, SPDYA, ID3, HBP1, ATM, INTS6, CDK13, INTS8, VSX1, CC2D1B, INVS, HIP1, TFCP2L1, SGF29, HIF3A, BMI1, LIMD1, SMG5, TRIM8, IKBKB, MED11, ZCWPW1, ING5, SMPD4, CSRP1, PCF11, RNF151, FEZF1, ZNF488, OFD1, DFFB, FOXD2, CNTD1, ZHX3, NCOA5, NCOA6, TSC22D3, TCF12, SLC39A11, TFEB, IL16, CCDC117, CBFA2T2, SIRT1, RNF169, HNRNPH1, SCAND2P, HNRNPH3, ZNF234, JDP2, ZNF592, CIPC, GPS2, TUBD1, PRKX, ZNF69, RELA, ZNF137P, RXRA, NSD1, LINC-PINT, SAMD1, ZNF345, EGLN1, CARD8, PER1, LBX2, HDGF, ZNF577, TJP3, OTUD4, ANKRD37, ZNF692, DCLRE1C, ITPRIP, NUP188, ICE2, POGK, LOXL3, CASC3, PPP1CC, SALL1, ZNF81, PAPOLA, EP300, MAF1, ZNF202, ZNF565, RALBP1, PPP4R3A, ZBTB34, SGO1, CTDNEP1, SAP25, MAPKAPK2, TIMELESS, ZNF558, S100A4, GMNC, NUPR1, RAF1, AJUBA, FKBP5, ZNF431, ZNF793, ZCCHC8, RNASEH2C, UBIAD1, ZNF790, MAX, FOXO4, PDS5A, PHF21A, NACC2, STK38, ZNF785, SMAD4, ZFHX2, ZBTB16, TMEM120A, ANKRD23, ZBTB12, BTBD7, FOXN3, FANCB, FANCE, FBXO32, NFKB1, UCKL1, CLK1, NFKBIA, PAN2, RGCC, ZNF417, LHX4, ZNF652, PHF19, MXD4, ARHGAP11A, SWSAP1, DIDO1, CALCOCO1, MCM7, MCM8, HP1BP3, HSPB7, HSPB2, DUSP18, PIDD1, FLCN, ZNF768, DGCR8, ZNF524, ZNF765, METTL16, BOK, RBM6, ZNF761, SUN2, RBM17, RBM14, DDX56, AXIN1, TRNAU1AP, SMC1A, ETV4, KLF15, CCNA2, RBL1, LATS2, TFDP2, EEF1D, CTDSP2, LCOR, DNAJC9, DNASE1, ZNF750, HDAC4, TRIM52, GTF3C5, POLDIP3, UHRF1, ZBTB44, PPM1D, SAMHD1, ZBTB40, NXF1, RMND5A, DNAJB6, NRIP2, SAP30L, ATOH8, MXI1, LRIG3, MUTYH, RBM38, SPEN, CDK11A, IRX5, POLN, ASCC1, USP21, MID1IP1, MGA, DONSON, FOXJ1, DEK, TBX6, RAD52, WEE1, CDK2AP2, TAF8, ZNF613, POLR3H, SNRNP48, THRSP, QRICH2, TAF3, ZNF850	567	5287	16024	1.4539433017460883	2.5353052990340075E-12	2.534648314922981E-12	2.534648314922981E-12
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	138	17.33668341708543	6.313900142833667E-8	ZNF692, GABPB2, ICE2, TRRAP, ZMYND8, IKZF2, SALL1, ZNF81, ZNF607, ZXDC, PWWP2A, EP300, ZNF600, MAF1, PKNOX1, ZNF202, ZNF565, ZBTB34, EBF4, OVOL3, JMJD6, ERN2, SAP25, TIMELESS, ZNF558, NUPR1, AJUBA, ZNF431, ATF4, ZNF793, ZNF394, ZNF790, CTBP2, MAX, ZBTB1, FOXO4, PHF21A, ZBTB2, ZNF704, NACC2, ZNF701, ZBED6, ZNF785, ZBED4, BANP, ZNF143, CREBBP, SMAD4, ZFHX2, ZBTB16, IRF2BP2, ZNF32, ZBTB12, NFATC1, FOXN3, NFKB1, ZNF30, ZNF417, ID3, HBP1, LHX4, ZNF652, VSX1, PHF19, CC2D1B, MXD4, CALCOCO1, HIP1, HIF3A, TFCP2L1, SGF29, LIMD1, BMI1, POU5F1P4, ING5, MED11, ZNF768, ZNF524, ZNF765, FEZF1, ZNF488, ZNF761, FOXD2, RBM14, ZHX3, NCOA5, NCOA6, TCF12, TFEB, IL16, CBFA2T2, ETV4, KLF15, SIRT1, RBL1, TFDP2, EEF1D, LCOR, ZNF234, JDP2, ZNF750, HDAC4, KANK2, ZNF592, GTF3C5, UHRF1, CIPC, GPS2, ZBTB44, ZNF69, RELA, ZBTB40, ZNF137P, RXRA, NRIP2, NSD1, SAP30L, ATOH8, MXI1, LINC-PINT, ZNF345, SPEN, IRX5, ASCC1, USP21, MGA, FOXJ1, TBX6, PER1, LBX2, TAF8, ZNF613, POLR3H, THRSP, HDGF, ZNF577, TAF3, ZNF850	398	2378	10360	1.5105806577039953	6.313880413832962E-6	3.623277413402293E-6	3.58704463926827E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	135	16.959798994974875	7.246554826804586E-8	ZNF692, GABPB2, ICE2, TRRAP, ZMYND8, IKZF2, SALL1, ZNF81, ZNF607, ZXDC, PWWP2A, EP300, ZNF600, MAF1, PKNOX1, ZNF202, ZNF565, ZBTB34, EBF4, OVOL3, JMJD6, ERN2, SAP25, TIMELESS, ZNF558, NUPR1, AJUBA, ZNF431, ATF4, ZNF793, ZNF394, ZNF790, CTBP2, MAX, ZBTB1, FOXO4, PHF21A, ZBTB2, ZNF704, NACC2, ZNF701, ZBED6, ZNF785, ZBED4, BANP, ZNF143, CREBBP, SMAD4, ZFHX2, ZBTB16, IRF2BP2, ZNF32, ZBTB12, NFATC1, FOXN3, NFKB1, ZNF30, ZNF417, ID3, HBP1, LHX4, ZNF652, VSX1, PHF19, CC2D1B, MXD4, CALCOCO1, HIP1, HIF3A, TFCP2L1, SGF29, LIMD1, BMI1, POU5F1P4, ING5, MED11, ZNF768, ZNF524, ZNF765, FEZF1, ZNF488, ZNF761, FOXD2, RBM14, ZHX3, NCOA5, NCOA6, TCF12, TFEB, IL16, CBFA2T2, ETV4, KLF15, SIRT1, RBL1, TFDP2, EEF1D, LCOR, ZNF234, JDP2, ZNF750, HDAC4, KANK2, ZNF592, UHRF1, CIPC, GPS2, ZBTB44, ZNF69, RELA, ZBTB40, ZNF137P, RXRA, NRIP2, NSD1, SAP30L, ATOH8, MXI1, LINC-PINT, ZNF345, SPEN, ASCC1, USP21, MGA, FOXJ1, TBX6, PER1, LBX2, TAF8, ZNF613, THRSP, HDGF, ZNF577, TAF3, ZNF850	398	2315	10360	1.517956955403367	7.246528829218946E-6	3.623277413402293E-6	3.58704463926827E-6
UP_SEQ_FEATURE	REGION:Disordered	496	62.311557788944725	5.408152700578482E-7	GABPB2, TRRAP, MRGPRF, EHMT1, SLC4A2, NYNRIN, ZC3H12C, KRTCAP3, PPP4R2, MSANTD2, ZXDC, PWWP2A, HOMER3, PKNOX1, SAMD11, SERPINF2, REV1, CEL, DDX39A, SPINT1, OPTC, TEP1, CLDN9, ZC3H11A, ZFYVE19, DDIT4, TMEM79, ATF4, UNC119B, ZNF394, CTBP2, ANAPC16, AGAP1, KCNMB3, PLCG1, PRR25, NHEJ1, CDK18, NGFR, CREBBP, WDR59, JUP, STARD10, IRF2BP2, NFATC1, ATP1A1-AS1, CGN, DHFR, MEX3A, PPFIBP2, SLC6A9, SASS6, LINC00304, CYB5RL, HBP1, CDK13, PRR34, ELN, STON1, SMG9, TFCP2L1, HIF3A, SPOUT1, SMG5, POU5F1P4, IKBKB, TRIM8, PCMTD2, ING5, ZCWPW1, SMPD4, EFCAB2, TCP11L2, RNF151, NINL, ZNF488, WDR38, OFD1, UPF2, MAMDC4, DFFA, LRRC46, TCF12, SLC39A11, ELMOD3, TMC6, SIRT1, ITPKB, RNF169, MYOT, JDP2, RAPGEF3, CHST3, KANK2, ZNF592, CEP295NL, CIPC, GPS2, PROCA1, SNX27, ARRDC1-AS1, NSD1, C16ORF90, STX2, SAMD1, EGLN1, TRMT10B, CARD8, SAMD4A, ADAT3, KTN1, ZNF577, CCDC144CP, ANKRD37, ZNF692, DGKD, SH2D7, FAM13B, CSF1, PLOD3, CASC3, AUP1, EDC3, PPP1CC, SLC25A48, SALL1, TUBB1, PAPOLA, GRB10, MAF1, SH2D6, ZNF202, CD177, MAP2K3, RALGAPA2, C21ORF58, FAM118A, ZBTB34, MOB3A, SAP25, MAPKAPK2, GMNC, AJUBA, FKBP5, ZNF431, RNASEH2C, CEP104, SSBP3-AS1, MAX, FOXO4, PKMYT1, PHF21A, C1ORF226, NACC2, ZNF785, SLC38A2, SRGAP1, CLCA4, ZBTB16, TMEM120A, OSBPL2, ANKRD23, ZBTB12, BTBD7, FOXN3, FANCE, NFKB1, UCKL1, RGCC, ZNF417, C6ORF118, PLXNB1, LHX4, LZTR1, ZNF652, SLC26A6, ADORA2A-AS1, SLC26A5, BCAR3, POMT2, ARHGAP11A, DIDO1, CALCOCO1, MCM7, SH2D4A, MCM8, PTPN21, ADAMTS2, SGCA, ACP7, LINC01546, ZNF768, DGCR8, EFHD1, ZNF524, METTL16, PGPEP1, ILKAP, CERS4, PVRIG, SH2D3A, MSL2, COBL, HAUS5, SMC1A, ADRA2B, ADORA2A, TFDP2, CATSPERG, SPATC1, LCOR, MTFR1, DNAJC9, SPACA6, ZNF750, SLC47A2, HDAC4, GTF3C5, ROCK1, UHRF1, CCDC69, SLC5A11, LRP4, ZBTB44, PPM1D, JAKMIP3, ZBTB40, DNAJB6, MROH6, BEND7, CTHRC1, LINC01561, IRX5, ASCC1, CEP152, MGA, DONSON, FOXJ1, CTNS, TBX6, RAD52, P2RX7, CROCC, SNRNP48, POLR3H, ZNF853, GLTP, SLC23A3, ZMYND8, KEAP1, CALML4, IKZF2, CCDC102A, KIAA0930, LGALS2, PPP2R1B, RASSF3, RCC1, ZNF600, FBXO5, ARL6IP6, SRRM5, NPFF, EBF4, OVOL3, JMJD6, CARHSP1, AZGP1, C10ORF62, COL8A2, HECA, TRIM16, LLGL2, RTEL1, RRAD, GIPR, ZBTB1, ZBTB2, MGC16025, PGS1, ZNF704, ZNF701, TRPM7, ZBED6, ZBED4, BANP, CDT1, SLC10A5, SRPK3, INSR, MICAL3, POLA1, STAG1, SMTN, CABYR, GKAP1, ZNF814, SPDYA, TMCC2, INTS8, RGL2, VSX1, FBXL7, CC2D1B, INVS, HIP1, STAB2, SGF29, BMI1, LIMD1, GYS2, KIF19, PCF11, KIF13A, KIF1C, FEZF1, ATPAF2, TOP3B, FOXD2, ZHX3, NCOA5, NCOA6, SLC35G6, TSC22D3, TFEB, IL16, CCDC117, CBFA2T2, RENBP, ANO2, NBPF15, SLC22A23, CLDN15, HNRNPH1, SCAND2P, CCNI2, FAM193A, RHOQ, TMPRSS5, STX16, PRKX, CRIP3, NKD1, RELA, RXRA, TLDC2, KANSL1L, CORIN, MAP4K4, RFTN2, OLAH, GDF11, DDTL, PLEKHA7, PER1, LBX2, TRIP10, EPPK1, HDGF, KIAA1958, TJP3, CAPS, OTUD4, ITPRIP, DCLRE1C, ZFAND4, NUP188, ICE2, POGK, LOXL3, JADE3, ZNF252P-AS1, CAPN2, EP300, CCDC160, NANOS2, RALBP1, GAS2L3, PPP4R3A, SHISA2, KCTD7, SGO1, ERN2, KIAA2026, SPECC1L, TIMELESS, NUPR1, RAF1, ZCCHC8, COX19, GNAZ, CCDC142, CCDC146, ARHGAP17, PDS5A, ACACB, ADIPOR2, HRH3, IRAK2, CDH20, PACSIN2, CDH26, CNMD, ANKZF1, FAM95C, MPST, SMAD4, ZFHX2, WSCD1, TRPV3, TDRD6, CLK1, NFKBIA, MAVS, PROC, BRWD3, SLC35E2B, MXD4, PHF19, SERTAD4-AS1, ABCD4, AVEN, SWSAP1, DOCK5, EDA, USP31, HSPB7, HP1BP3, RND2, PIDD1, FLCN, FYCO1, LRP5L, CA2, GRM6, FBXL19-AS1, COLGALT1, RBM6, SUN2, ARHGEF10, RBM17, RBM14, ABCC2, LMNTD1, LMNTD2, DDX56, ABCC6, ARHGEF16, PCDHGA1, TTC31, AXIN1, ARAP1, SHROOM1, ETV4, KLF15, LSS, CCNA2, FCHSD2, LATS2, EEF1D, AKT1S1, COL6A6, ITGB1BP2, HSP90AB4P, RBM48, POLDIP3, SAMHD1, TOB2, DLL1, CLN3, NXF1, MLANA, CLMN, NRIP2, SAP30L, MXI1, ATOH8, LRIG3, SASH1, MUTYH, SPEN, CDK11A, POLN, USP21, PDE4DIP, DEK, SH3YL1, WEE1, CDK2AP2, TAF8, CDK2AP1, NAA16, CMTM1, THRSP, QRICH2, TAF3	652	12330	18300	1.1290731867508548	0.0016513669027815592	0.0016527314652967841	0.0016505682042165528
UP_KW_PTM	KW-0597~Phosphoprotein	337	42.336683417085425	2.7557600860848238E-6	GABPB2, TRRAP, ZMYND8, EHMT1, SLC4A2, IKZF2, CCDC102A, KIAA0930, ZC3H12C, PPP4R2, MSANTD2, ZXDC, RCC1, PWWP2A, HOMER3, FBXO5, PKNOX1, ARL6IP6, SAMD11, JMJD6, CARHSP1, DDX39A, C10ORF62, ZC3H11A, ZFYVE19, DDIT4, CLDN7, HECA, TRIM16, LLGL2, ATF4, ZNF394, CTBP2, RRAD, ZBTB1, AGAP1, SLC5A3, ZBTB2, PGS1, ZNF704, TRPM7, PLCG1, ZBED6, ZBED4, NHEJ1, BANP, CDK18, ZNF143, NGFR, CDT1, SRPK3, CREBBP, WDR59, JUP, INSR, STARD10, MICAL3, IRF2BP2, NFATC1, CGN, XKR8, POLA1, STAG1, SMTN, CABYR, MEX3A, PPFIBP2, AGO3, SLC6A9, GKAP1, SASS6, SPDYA, TMCC2, ATM, INTS6, CDK13, RGL2, INTS8, CC2D1B, INVS, HIP1, STAB2, SMG9, LIMD1, SMG5, POU5F1P4, LRRC1, GYS2, IKBKB, ZCWPW1, ING5, SMPD4, CSRP1, PCF11, KIF13A, TCP11L2, KIF1C, LDLRAP1, NINL, OFD1, UPF2, DFFA, FOXD2, ZHX3, LRRC46, NCOA5, NCOA6, TSC22D3, TCF12, TFEB, IL16, TMC6, CCDC117, CBFA2T2, SIRT1, ITPKB, RNF169, CLDN15, HNRNPH1, HNRNPH3, FAM193A, UMPS, TLR5, JDP2, RAPGEF3, KANK2, ZNF592, STX16, CIPC, PELI2, PROCA1, PRKX, RELA, RXRA, SNX27, NSD1, CXCR2, KANSL1L, SAMD1, RNF130, MAP4K4, RFTN2, EGLN1, SAMD4A, FMO5, PLEKHA7, KTN1, PER1, KRT19, TRIP10, EPPK1, HDGF, KIAA1958, CAPS, TJP3, OTUD4, ZNF692, DGKD, DCLRE1C, ITPRIP, CSF1, NUP188, ICE2, JADE3, AUP1, CASC3, EDC3, PPP1CC, SALL1, TUBB1, TEKT2, PAPOLA, GRB10, EP300, MAF1, ZNF202, MAP2K3, RALBP1, GAS2L3, RALGAPA2, FAM118A, PPP4R3A, ZBTB34, SGO1, ERN2, MAPKAPK2, SPECC1L, TIMELESS, GMNC, TSSK3, NUPR1, RAF1, AJUBA, FKBP5, ZCCHC8, RNASEH2C, MAX, ARHGAP17, FOXO4, PDS5A, PKMYT1, ACACB, PHF21A, C1ORF226, HRH3, MAN2A1, IRAK2, GRK7, STK38, PACSIN2, SLC38A2, SRGAP1, ANKZF1, MPST, SMAD4, PNPT1, ZBTB16, OSBPL2, ZBTB12, BTBD7, FOXN3, TDRD6, SYT9, FANCE, NFKB1, UCKL1, CLK1, NFKBIA, PAN2, MAVS, RGCC, PROC, PLXNB1, LZTR1, BRWD3, ZNF652, SLC26A6, PHF19, ARHGAP11A, BCAR3, POMT2, AVEN, DOCK5, DIDO1, CALCOCO1, MCM7, ITGB5, SH2D4A, MCM8, MCMDC2, HP1BP3, ILK, PTPN21, PIDD1, FYCO1, FLCN, SGCA, CA2, ZNF768, DGCR8, EFHD1, METTL16, BOK, RBM6, ILKAP, SUN2, CERS4, ARHGEF10, RBM17, RBM14, ABCC2, PVRIG, SH2D3A, C3ORF62, ARHGEF16, DDX56, ABCC6, TTC31, AXIN1, MSL2, COBL, ARAP1, HAUS5, SHROOM1, SMC1A, ETV4, CCNA2, FCHSD2, RBL1, LATS2, TFDP2, EEF1D, CTDSP2, AKT1S1, LCOR, DNAJC9, MTFR1, HDAC4, ROCK1, POLDIP3, UHRF1, CCDC69, ZBTB44, TOB2, PPM1D, SAMHD1, DLL1, JAKMIP3, ZBTB40, PRRG4, CLN3, NXF1, DNAJB6, MLANA, CLMN, SAP30L, RAB29, BEND7, SASH1, SPEN, CDK11A, IRX5, MID1IP1, MGA, CEP152, DONSON, CYP4B1, PDE4DIP, DEK, RAD52, P2RX7, WEE1, CROCC, CDK2AP2, TAF8, CDK2AP1, TAF3	478	7948	13133	1.1649521576439326	7.164729417430404E-5	7.440552232429024E-5	7.440552232429024E-5
UP_SEQ_FEATURE	COMPBIAS:Polar residues	282	35.427135678391956	2.815909575461036E-6	SLC23A3, GABPB2, TRRAP, ZMYND8, MRGPRF, EHMT1, CALML4, SLC4A2, IKZF2, CCDC102A, NYNRIN, KIAA0930, KRTCAP3, ZC3H12C, RASSF3, PPP4R2, MSANTD2, ZXDC, PWWP2A, PKNOX1, SRRM5, SERPINF2, REV1, EBF4, OVOL3, JMJD6, SPINT1, TEP1, ZC3H11A, ZFYVE19, DDIT4, ATF4, RTEL1, ANAPC16, CTBP2, GIPR, ZBTB1, AGAP1, ZBTB2, MGC16025, PGS1, ZNF704, ZNF701, TRPM7, ZBED6, ZBED4, NHEJ1, BANP, CDK18, NGFR, SRPK3, CREBBP, JUP, MICAL3, IRF2BP2, NFATC1, ATP1A1-AS1, CGN, STAG1, SMTN, CABYR, PPFIBP2, GKAP1, ZNF814, LINC00304, TMCC2, HBP1, CDK13, RGL2, VSX1, FBXL7, CC2D1B, INVS, ELN, STAB2, STON1, TFCP2L1, SGF29, HIF3A, BMI1, LIMD1, SPOUT1, POU5F1P4, IKBKB, ZCWPW1, KIF19, PCF11, EFCAB2, KIF13A, TCP11L2, KIF1C, WDR38, OFD1, ZHX3, LRRC46, NCOA5, NCOA6, TSC22D3, TCF12, TFEB, IL16, CCDC117, CBFA2T2, SIRT1, ANO2, SLC22A23, ITPKB, RNF169, MYOT, SCAND2P, CCNI2, FAM193A, KANK2, ZNF592, CEP295NL, CIPC, GPS2, PROCA1, RELA, NKD1, RXRA, ARRDC1-AS1, NSD1, C16ORF90, MAP4K4, RFTN2, CARD8, SAMD4A, PLEKHA7, KTN1, PER1, KIAA1958, CAPS, TJP3, CCDC144CP, OTUD4, ZNF692, SH2D7, DGKD, DCLRE1C, FAM13B, CSF1, NUP188, ICE2, PLOD3, JADE3, CASC3, EDC3, SALL1, ZNF252P-AS1, PAPOLA, GRB10, EP300, MAF1, SH2D6, ZNF202, CCDC160, MAP2K3, GAS2L3, RALGAPA2, FAM118A, PPP4R3A, ZBTB34, KCTD7, SGO1, ERN2, KIAA2026, SAP25, SPECC1L, TIMELESS, RAF1, AJUBA, FKBP5, ZCCHC8, CEP104, RNASEH2C, CCDC142, SSBP3-AS1, MAX, ARHGAP17, PDS5A, PKMYT1, ACACB, PHF21A, C1ORF226, HRH3, IRAK2, CDH20, NACC2, PACSIN2, SRGAP1, CNMD, ANKZF1, FAM95C, MPST, SMAD4, ZFHX2, OSBPL2, TRPV3, BTBD7, FOXN3, UCKL1, MAVS, RGCC, PLXNB1, LHX4, BRWD3, ZNF652, MXD4, BCAR3, AVEN, DOCK5, DIDO1, CALCOCO1, EDA, USP31, SH2D4A, HP1BP3, HSPB7, PTPN21, FYCO1, FLCN, ACP7, ZNF768, METTL16, RBM6, ILKAP, SUN2, ARHGEF10, RBM14, ABCC2, ARHGEF16, PCDHGA1, LMNTD2, ABCC6, TTC31, AXIN1, COBL, ARAP1, SHROOM1, SMC1A, ETV4, FCHSD2, LATS2, TFDP2, EEF1D, SPATC1, LCOR, ZNF750, HDAC4, ROCK1, UHRF1, LRP4, ZBTB44, TOB2, PPM1D, SAMHD1, JAKMIP3, ZBTB40, CLN3, NXF1, CLMN, NRIP2, MXI1, LRIG3, BEND7, SASH1, MUTYH, SPEN, LINC01561, MGA, FOXJ1, PDE4DIP, RAD52, SH3YL1, CROCC, TAF8, POLR3H, CMTM1, QRICH2, ZNF853, TAF3	652	6341	18300	1.24823066942858	0.008568511033013038	0.004302709831304463	0.0042970780121535405
UP_KW_MOLECULAR_FUNCTION	KW-0678~Repressor	46	5.778894472361809	9.1282492442249E-6	HDAC4, CTBP2, UHRF1, MAX, CIPC, ZBTB1, GPS2, HIF3A, BMI1, LIMD1, PHF21A, SALL1, NSD1, SAP30L, NACC2, MXI1, MAF1, ZBED6, ZNF202, ZNF488, FEZF1, BANP, SPEN, RBM14, ZHX3, NCOA5, ZBTB16, MGA, SAMD4A, IRF2BP2, NFATC1, FOXN3, CBFA2T2, RBL1, SAP25, ID3, LCOR, HBP1, HDGF, AJUBA, JDP2, ZNF652, ZNF431, ATF4, PHF19, MXD4	403	617	10864	2.0098209940840777	6.935095199632757E-4	6.937469425610924E-4	6.937469425610924E-4
UP_SEQ_FEATURE	ZN_FING:C2H2-type 4	43	5.402010050251256	1.93311498447717E-5	ZNF793, ZNF692, ZNF394, ZNF592, ZNF790, ZBTB1, ZBTB44, IKZF2, ZNF69, ZBTB40, ZNF137P, ZNF81, SALL1, ZNF607, ZXDC, ZNF768, ZNF701, ZNF524, ZNF765, ZNF600, ZNF202, ZNF565, FEZF1, ZNF785, ZNF345, ZNF761, ZNF143, ZFHX2, ZBTB16, ZNF32, ZBTB12, OVOL3, ZNF814, ZNF30, ZNF417, ZNF613, ZNF558, ZNF853, ZNF577, ZNF234, ZNF850, ZNF652, ZNF431	652	594	18300	2.0318212802875375	0.05736540636362086	0.01969199797520744	0.019666223108747743
UP_KW_MOLECULAR_FUNCTION	KW-0238~DNA-binding	103	12.939698492462313	5.6545330944343336E-5	ZNF692, POGK, IKZF2, SALL1, ZNF81, ZNF607, RCC1, ZNF600, PKNOX1, ZNF202, ZNF565, REV1, ZBTB34, EBF4, ZNF558, NUPR1, DNA2, ZNF431, ATF4, ZNF793, RTEL1, ZNF394, ZNF790, MAX, ZBTB1, FOXO4, PHF21A, ZBTB2, ZNF704, ZNF701, ZBED6, ZNF785, ZBED4, NHEJ1, BANP, ZNF143, SMAD4, ZFHX2, ZBTB16, XRCC3, ZNF32, ZBTB12, NFATC1, FOXN3, NFKB1, POLA1, ZNF30, ZNF417, HBP1, ATM, LHX4, ZNF652, VSX1, MXD4, SWSAP1, MCM7, MCM8, HP1BP3, TFCP2L1, ZNF768, ZNF524, ZNF765, FEZF1, ZNF488, ZNF761, TOP3B, FOXD2, ZHX3, TCF12, TFEB, ETV4, KLF15, TFDP2, EEF1D, LCOR, ZNF234, JDP2, ZNF592, GTF3C5, UHRF1, ZBTB44, ZNF69, RELA, ZBTB40, ZNF137P, RXRA, SAP30L, ATOH8, MXI1, ZNF345, SPEN, IRX5, POLN, MGA, FOXJ1, DEK, TBX6, RAD52, LBX2, ZNF613, HDGF, ZNF577, ZNF850	403	1925	10864	1.442418226934356	0.0042883453314785935	0.0021487225758850467	0.0021487225758850467
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	46	5.778894472361809	8.066431818078024E-5	MCM7, ANAPC16, UHRF1, MCM8, FOXO4, PKMYT1, PDS5A, PPM1D, SPOUT1, PPP1CC, KIF13A, RCC1, EP300, FBXO5, BANP, RBM38, CDT1, CDK11A, CDKN2C, MICAL3, FOXN3, HAUS5, SMC1A, SGO1, CCNA2, STAG1, WEE1, LATS2, RBL1, RGCC, TFDP2, ZFYVE19, CROCC, SPECC1L, SASS6, SPDYA, TIMELESS, JTB, CDK2AP1, GMNC, ATM, KCTD11, CDK13, AJUBA, FBXL7, LLGL2	398	652	10360	1.8364830286401335	0.008034308197834905	0.0026888106060260083	0.0026619224999657478
