Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005634~nucleus	280	35.175879396984925	4.89100374834434E-15	GABPB2, TRRAP, ZMYND8, EHMT1, IKZF2, NYNRIN, ZC3H12C, RNF114, ZNF607, PPP4R2, ZXDC, RCC1, PWWP2A, ZNF600, FBXO5, PKNOX1, SAMD11, REV1, HUS1, EBF4, OVOL3, JMJD6, AZGP1, DDX39A, HECA, DNA2, ATF4, RTEL1, ZNF394, CTBP2, ZBTB1, AGAP1, ZNF704, ZNF701, ZBED6, ZBED4, NHEJ1, BANP, CDK18, CDT1, SRPK3, CREBBP, JUP, XRCC3, MICAL3, IRF2BP2, ZNF32, NFATC1, ALOX15B, POLA1, STAG1, CABYR, MEX3A, ZNF814, ZNF30, SPDYA, ID3, HBP1, ATM, INTS6, CDK13, INTS8, VSX1, CC2D1B, INVS, HIP1, TFCP2L1, BMI1, LIMD1, SMG5, POU5F1P4, TRIM8, IKBKB, MED11, ZCWPW1, ING5, CSRP1, RNF151, ANXA9, ZNF488, TOP3B, OFD1, UPF2, DFFB, DFFA, FOXD2, CNTD1, ZHX3, NCOA6, TSC22D3, TCF12, SLC39A11, TFEB, IL16, CCDC117, CBFA2T2, SIRT1, ITPKB, RNF169, HNRNPH1, SCAND2P, CCNI2, HNRNPH3, UMPS, DNASE1L2, ZNF234, JDP2, ZNF592, CIPC, GPS2, TUBD1, PRKX, ZNF69, RELA, ZNF137P, RXRA, NSD1, TLDC2, SAMD1, ZNF345, EGLN1, TRMT10B, CDKN2C, CARD8, PER1, LBX2, HDGF, ZNF577, TJP3, OTUD4, ANKRD37, DGKD, DCLRE1C, UBXN2A, POGK, LOXL3, CASC3, SCGN, PPP1CC, SALL1, ZNF81, TEKT2, PAPOLA, CAPN2, EP300, MAF1, ZNF202, ZNF565, NANOS2, RALBP1, RALGAPA2, MOB3A, MOB3C, SAP25, MAPKAPK2, TIMELESS, ZNF558, S100A4, GMNC, TSSK3, NUPR1, RAF1, AJUBA, FKBP5, ZNF431, ZNF793, ZCCHC8, RNASEH2C, UBIAD1, ZNF790, MAX, FOXO4, PDS5A, PKMYT1, ACACB, IRAK2, NACC2, STK38, ZNF785, SMAD4, PNPT1, ZFHX2, ZBTB16, BTBD7, FOXN3, FANCE, FBXO32, NFKB1, UCKL1, CLK1, NFKBIA, PAN2, RGCC, ZNF417, LHX4, BRWD3, ZNF652, PHF19, ARHGAP11A, SWSAP1, DIDO1, CALCOCO1, MCM7, USP31, MCM8, MCMDC2, HP1BP3, HSPB7, HSPB2, DUSP18, PIDD1, FLCN, ZNF768, DGCR8, ZNF524, ZNF765, METTL16, BOK, RBM6, ZNF761, ILKAP, CERS4, RBM14, AXIN1, MSL2, TRNAU1AP, SMC1A, ETV4, KLF15, CCNA2, LATS2, TFDP2, EEF1D, AKT1S1, LCOR, DNAJC9, DNASE1, ZNF750, HDAC4, TRIM52, POLDIP3, UHRF1, CCDC69, ZBTB44, TOB2, PPM1D, SAMHD1, ZBTB40, CLN3, NXF1, RMND5A, DNAJB6, NRIP2, SAP30L, ATOH8, MXI1, LRIG3, MUTYH, RBM38, SPEN, CDK11A, IRX5, POLN, ASCC1, MID1IP1, DONSON, FOXJ1, PDE4DIP, EXOG, DEK, TBX6, RAD52, WEE1, CDK2AP2, TAF8, ZNF613, CDK2AP1, NAA16, TAF3, ZNF850	628	5564	18538	1.4855050895886661	2.276401289691421E-12	2.279207746728462E-12	2.279207746728462E-12
UP_KW_DOMAIN	KW-0863~Zinc-finger	101	12.688442211055277	3.305281212596528E-7	ZNF692, DGKD, ZFAND4, ZMYND8, JADE3, IKZF2, ZC3H12C, RNF114, SALL1, ZNF81, ZNF607, ZXDC, EP300, ZNF600, FBXO5, ZNF202, ZNF565, NANOS2, ZBTB34, EBF4, OVOL3, ZC3H11A, ZFYVE19, ZNF558, TRIM16, RAF1, ZNF431, ZNF793, ZCCHC8, ZNF394, ZNF790, ZBTB1, AGAP1, PHF21A, ZBTB2, ZNF704, ZNF701, ZBED6, ZNF785, ANKZF1, ZBED4, ZNF143, CREBBP, ZFHX2, ZBTB16, IRF2BP2, ZNF32, ZBTB12, POLA1, MEX3A, ZNF814, ZNF30, ZNF417, ZNF652, PHF19, DIDO1, CALCOCO1, BMI1, TRIM8, ZCWPW1, ING5, FYCO1, TRIM4, ZNF768, ZNF524, RNF151, ZNF765, FEZF1, ZNF488, ZNF761, ZHX3, MSL2, ARAP1, CBFA2T2, KLF15, RNF144A, RNF169, ZNF234, ZNF750, TRIM52, ZNF592, ROCK1, UHRF1, ZBTB44, ZNF69, ZBTB40, ZNF137P, RMND5A, RXRA, NSD1, SAP30L, LRIG3, RNF130, ZNF345, EGLN1, ZNF613, SNRNP48, ZNF853, ZNF577, TAF3, ZNF850	479	1745	13604	1.6438305686991166	8.593695645542354E-6	8.593731152750973E-6	8.593731152750973E-6
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	133	16.70854271356784	1.0885096154369499E-6	ZNF692, DGKD, ZMYND8, JADE3, IKZF2, PPP1CC, ZC3H12C, RNF114, SALL1, ZNF81, ZNF607, ZXDC, PAPOLA, EP300, ZNF600, FBXO5, ZNF202, ZNF565, PSPH, REV1, ZBTB34, EBF4, OVOL3, MOB3A, MOB3C, ZC3H11A, ZFYVE19, ZNF558, DNA2, RAF1, CARS2, AJUBA, ZNF431, ZNF793, GNAZ, RTEL1, ZNF394, ZNF790, ZBTB1, GMPR, AGAP1, PKMYT1, ACACB, ADIPOR2, PHF21A, ZBTB2, MGC16025, MAN2A1, ZNF704, ZNF701, TRPM7, ZBED6, ZNF785, CLCA4, ANKZF1, ZBED4, ZNF143, CREBBP, SMAD4, ZBTB16, MICAL3, IRF2BP2, ZNF32, ZBTB12, PAN2, POLA1, MEX3A, AGO3, ITGA10, ZNF814, ITGA11, ZNF30, ZNF417, LHX4, ZNF652, PHF19, POMT2, DIDO1, CALCOCO1, CPQ, LIMD1, BMI1, TRIM8, ING5, FYCO1, SMPD4, CSRP1, ACP7, ZNF768, DGCR8, ZNF524, RNF151, ZNF765, FEZF1, ZNF488, ZNF761, ILKAP, ZHX3, OVCH2, MSL2, ARAP1, CBFA2T2, KLF15, SIRT1, RNF144A, RNF169, LATS2, CTDSP2, ZNF234, ZNF750, ZNF592, ROCK1, UHRF1, CRIP3, ZBTB44, PPM1D, ZNF69, ZBTB40, ZNF137P, RMND5A, NSD1, RNF130, ZNF345, MUTYH, USP21, EXOG, ADAT3, ZNF613, SNRNP48, ZNF853, ZNF577, TAF3, ZNF850	609	2537	17366	1.4949052868126442	8.367141092209263E-4	4.580344712901403E-4	4.574388477904132E-4
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	74	9.296482412060302	1.191246999454201E-6	CALCOCO1, ZNF692, TFCP2L1, HIF3A, BMI1, IKZF2, SALL1, ZNF81, ZNF607, ZNF524, ZNF765, ZNF600, PKNOX1, FEZF1, ZNF202, ZNF565, ZNF761, FOXD2, TCF12, TFEB, ZBTB34, EBF4, ETV4, KLF15, SIRT1, OVOL3, SCAND2P, ZNF234, JDP2, ZNF750, ZNF431, ATF4, ZNF793, HDAC4, ZNF394, ZNF790, ZBTB1, FOXO4, RELA, ZBTB2, ZBTB40, RXRA, ZNF704, NACC2, NSD1, ATOH8, MXI1, ZNF701, ZNF345, ZNF143, SMAD4, ZFHX2, IRX5, ZBTB16, MGA, ZNF32, FOXJ1, NFATC1, ZBTB12, TBX6, NFKB1, PER1, ZNF814, ZNF30, ZNF417, ZNF613, HBP1, HDGF, ZNF853, ZNF577, ZNF652, ZNF850, CC2D1B, MXD4	609	1176	17366	1.7943489382616757	9.156500246808585E-4	4.580344712901403E-4	4.574388477904132E-4
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	177	22.236180904522612	1.654019282254046E-6	ANKRD37, ZNF692, DCLRE1C, ICE2, TRRAP, POGK, ZMYND8, KEAP1, EHMT1, JADE3, CASC3, PPP1CC, SALL1, PPP4R2, PAPOLA, RCC1, EP300, FBXO5, MAF1, MAP2K3, REV1, HUS1, PPP4R3A, ZBTB34, JMJD6, SGO1, DDX39A, ZC3H11A, MAPKAPK2, TIMELESS, NUPR1, DNA2, AJUBA, ATF4, FKBP5, ZCCHC8, RTEL1, ZBED8, ANAPC16, MAX, ZBTB1, ARHGAP17, FOXO4, PKMYT1, PDS5A, PHF21A, ZBTB2, ZBED6, ZBED4, NHEJ1, BANP, ZNF143, NGFR, CDT1, CREBBP, SMAD4, ABCA6, ANKRD23, XRCC3, MICAL3, IRF2BP2, ZBTB12, NFATC1, FANCB, FANCE, FBXO32, NFKB1, NFKBIA, POLA1, STAG1, RGCC, CABYR, AGO3, SPDYA, ID3, CYB5RL, HBP1, ATM, INTS6, CDK13, INTS8, PHF19, CC2D1B, MXD4, POMT2, MCM7, MCM8, HSPB7, ILK, DUSP18, HIF3A, LIMD1, BMI1, ING5, PIDD1, PCF11, DGCR8, FEZF1, ILKAP, DFFB, RBM17, DFFA, RBM14, ZHX3, NCOA5, NCOA6, TCF12, ABCC6, TFEB, MSL2, ARAP1, SMC1A, ETV4, KLF15, SIRT1, ANO2, IL17RB, CCNA2, RNF169, RBL1, TFDP2, HNRNPH1, EEF1D, CTDSP2, AKT1S1, LCOR, DNAJC9, HNRNPH3, BCAT2, HDAC4, RBM48, GTF3C5, POLDIP3, UHRF1, CIPC, GPS2, TUBD1, PRKX, PPM1D, SAMHD1, RELA, NXF1, RMND5A, RXRA, DNAJB6, SNX27, NSD1, SAP30L, ATOH8, MXI1, CXCR2, LRIG3, MUTYH, SPEN, GDF11, TRMT10B, POLN, ASCC1, USP21, CARD8, CEP152, MGA, DEK, ADAT3, PLEKHA7, RAD52, PER1, WEE1, TRIP10, TAF8, CDK2AP1, POLR3H, SNRNP48, THRSP, HDGF, TAF3, TJP3	628	3774	18538	1.3844414853219649	7.704766532594665E-4	3.8538649276519273E-4	3.8538649276519273E-4
REACTOME_PATHWAY	R-HSA-74160~Gene expression (Transcription)	80	10.050251256281408	3.1921608666866488E-6	ZNF692, NUP188, ICE2, EHMT1, CASC3, BMI1, ING5, PIDD1, PPP2R1B, ZNF607, PCF11, PAPOLA, DGCR8, EP300, ZNF600, ZNF202, ZNF565, ZNF761, RBM14, TCF12, AXIN1, HUS1, SIRT1, CCNA2, RBL1, DDX39A, TFDP2, ZC3H11A, DDIT4, ZNF558, DNA2, ZNF234, ZNF750, ZNF431, FKBP5, ZNF793, HDAC4, COX19, ZNF394, ZNF790, ANAPC16, GTF3C5, POLDIP3, MAX, UHRF1, GPS2, FOXO4, PPM1D, DLL1, RELA, RXRA, ZNF704, SAP30L, ZNF701, ZNF785, BANP, ZNF143, CREBBP, SMAD4, ABCA6, MGA, TDRD6, DEK, FBXO32, NFKB1, RGCC, TP53I3, AGO3, ZNF30, ZNF417, TAF8, ZNF613, POLR3H, ATM, INTS6, ZNF577, CDK13, TAF3, INTS8, PHF19	359	1421	10614	1.6644875220283097	0.003600649595285832	0.003607141779355913	0.0035752201706890467
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	92	11.557788944723619	3.5703967493456527E-6	ZNF692, TRRAP, JADE3, TFCP2L1, HIF3A, SGF29, IKZF2, MED11, SALL1, ZNF81, ZNF607, ZXDC, ZNF768, ZNF524, ZNF765, ZNF600, PKNOX1, FEZF1, ZNF202, ZNF565, ZNF761, FOXD2, ZHX3, TSC22D3, TCF12, TFEB, ZBTB34, EBF4, ETV4, KLF15, OVOL3, RBL1, TFDP2, SCAND2P, ZNF558, LCOR, ZNF234, JDP2, ATF4, ZNF793, ZNF394, ZNF790, CTBP2, MAX, ZBTB1, GPS2, FOXO4, ZNF69, RELA, ZBTB2, ZBTB40, RXRA, ZNF704, NACC2, ATOH8, MXI1, ZNF701, ZBED6, ZNF785, ZNF345, SPEN, ZNF143, SMAD4, ZFHX2, IRX5, ZBTB16, MGA, IRF2BP2, ZNF32, FOXJ1, NFATC1, ZBTB12, FOXN3, DEK, TBX6, NFKB1, LBX2, ZNF814, ZNF30, ZNF417, ZNF613, HBP1, HDGF, LHX4, ZNF853, ZNF577, ZNF652, VSX1, ZNF850, BRWD3, CC2D1B, MXD4	601	1659	17561	1.6203775303166614	0.009222406428942231	0.009261609167802623	0.009261609167802623
REACTOME_PATHWAY	R-HSA-73857~RNA Polymerase II Transcription	73	9.170854271356783	7.89678875829863E-6	ZNF692, ICE2, EHMT1, CASC3, BMI1, ING5, PIDD1, PPP2R1B, ZNF607, PCF11, PAPOLA, DGCR8, EP300, ZNF600, ZNF202, ZNF565, ZNF761, RBM14, TCF12, AXIN1, HUS1, SIRT1, CCNA2, RBL1, DDX39A, TFDP2, ZC3H11A, DDIT4, ZNF558, DNA2, ZNF234, ZNF750, ZNF431, FKBP5, ZNF793, HDAC4, COX19, ZNF394, ZNF790, ANAPC16, POLDIP3, MAX, GPS2, FOXO4, PPM1D, DLL1, RELA, RXRA, ZNF704, ZNF701, ZNF785, BANP, ZNF143, CREBBP, SMAD4, ABCA6, MGA, DEK, FBXO32, NFKB1, RGCC, TP53I3, AGO3, ZNF30, ZNF417, TAF8, ZNF613, ATM, INTS6, ZNF577, CDK13, TAF3, INTS8	359	1287	10614	1.6769841115245014	0.008883711098624958	0.004461685648438726	0.004422201704647233
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	58	7.2864321608040195	2.095893186606574E-5	ZNF692, EHMT1, TFCP2L1, BMI1, FLCN, SALL1, EP300, FEZF1, ZNF202, NCOA5, ZBTB34, CBFA2T2, SIRT1, RBL1, ZNF558, LCOR, AJUBA, JDP2, ZNF750, ZNF431, ATF4, HDAC4, KANK2, CTBP2, MAX, UHRF1, ZBTB1, GPS2, ZNF69, RELA, PHF21A, ZBTB2, RXRA, NRIP2, NACC2, NSD1, SAP30L, MXI1, SAMD1, ZBED6, ZNF785, ZNF345, SPEN, CREBBP, SMAD4, ZBTB16, IRF2BP2, FOXJ1, ZBTB12, TBX6, NFKB1, PER1, ID3, HDGF, TAF3, PHF19, CC2D1B, MXD4	601	944	17561	1.7952741194055106	0.05293637117306249	0.027183734630287264	0.027183734630287264
UP_KW_LIGAND	KW-0862~Zinc	130	16.331658291457288	2.582448442446478E-5	ZNF692, DGKD, ZFAND4, ZMYND8, EHMT1, JADE3, IKZF2, ZC3H12C, RNF114, SALL1, ZNF81, ZNF607, RASSF3, ZXDC, EP300, ZNF600, FBXO5, ZNF202, ZNF565, NANOS2, ZBTB34, EBF4, OVOL3, MOB3A, MOB3C, ZC3H11A, ZFYVE19, ZNF558, TRIM16, RAF1, CARS2, AJUBA, ZNF431, ZNF793, ZCCHC8, ZNF394, ZNF790, ZBTB1, AGAP1, ADIPOR2, PHF21A, ZBTB2, MGC16025, MAN2A1, ZNF704, ZNF701, TRPM7, ZBED6, ZNF785, CLCA4, ANKZF1, ZBED4, ZNF143, CREBBP, SMAD4, ZFHX2, ZBTB16, MICAL3, IRF2BP2, ZNF32, ZBTB12, POLA1, MEX3A, ZNF814, ZNF30, ZNF417, LHX4, ZNF652, PHF19, DIDO1, CPM, CALCOCO1, CPQ, LIMD1, BMI1, TRIM8, ZCWPW1, ING5, FYCO1, ADAMTS2, TRIM4, CSRP1, CA2, ACP7, ZNF768, ZNF524, RNF151, ZNF765, FEZF1, ZNF488, ZNF761, ZHX3, SLC39A11, MSL2, ARAP1, CBFA2T2, KLF15, SIRT1, RNF144A, RNF169, ITGB1BP2, ZNF234, ZNF750, HDAC4, TRIM52, ZNF592, ROCK1, UHRF1, CRIP3, ZBTB44, SAMHD1, ZNF69, ZBTB40, ZNF137P, RMND5A, RXRA, NSD1, SAP30L, LRIG3, RNF130, ZNF345, EGLN1, USP21, ADAT3, ZNF613, SNRNP48, ZNF853, ZNF577, TAF3, ZNF850	266	2368	6474	1.3361422983133509	7.744444994063349E-4	8.005590171584082E-4	8.005590171584082E-4
