Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0809~Transit peptide	47	5.39609644087256	1.3037443125062353E-6	DMGDH, SLC25A3, FH, MTFMT, ECHS1, NDUFB5, GLDC, RMND1, OGDHL, GHITM, TXN2, MRPL55, NLN, MRPL2, OPA1, OXCT1, ME3, NDUFV2, COX8A, BCKDHA, MCCC2, TSFM, MECR, IDH3G, MDH2, ADHFE1, IDH2, MRPS18A, IMMT, ACADSB, TUFM, CS, PDP1, MRPL30, OXA1L, GLUD1, GLUD2, SARS2, ALDH5A1, BDH1, DNAJC30, IVD, CMPK2, NDUFS1, UQCRC2, ACO2, DLD	560	530	13604	2.1542722371967655	3.389679971244064E-5	3.5201096437668354E-5	3.5201096437668354E-5
INTERPRO	IPR021156:Transcription elongation factor A-like/Brain expressed X-linked-like	7	0.8036739380022963	1.4436386174776215E-5	BEX4, BEX3, BEX2, TCEAL5, TCEAL4, TCEAL2, BEX5	753	14	17358	11.52589641434263	0.019371360865106158	0.019546866880646996	0.01941693940507401
SMART	SM00865:SM00865	7	0.8036739380022963	1.3180406146618123E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	382	21	9476	8.268760907504362	0.034581896710284776	0.030571655032068205	0.030113652709490405
INTERPRO	IPR018316:Tubulin/FtsZ, 2-layer sandwich domain	7	0.8036739380022963	2.0103241959417055E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	753	21	17358	7.683930942895087	0.2384704578577378	0.04551724153980566	0.04521468971273161
SMART	SM00864:SM00864	7	0.8036739380022963	2.2900116128890042E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	382	23	9476	7.549738219895288	0.05931816669203216	0.030571655032068205	0.030113652709490405
INTERPRO	IPR023123:Tubulin, C-terminal	7	0.8036739380022963	2.663539378126131E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	753	22	17358	7.334661354581674	0.30299149020234495	0.04551724153980566	0.04521468971273161
INTERPRO	IPR017975:Tubulin, conserved site	7	0.8036739380022963	2.663539378126131E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	753	22	17358	7.334661354581674	0.30299149020234495	0.04551724153980566	0.04521468971273161
INTERPRO	IPR008280:Tubulin/FtsZ, C-terminal	7	0.8036739380022963	2.663539378126131E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	753	22	17358	7.334661354581674	0.30299149020234495	0.04551724153980566	0.04521468971273161
INTERPRO	IPR000217:Tubulin	7	0.8036739380022963	3.4725002526574323E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	753	23	17358	7.015763034817253	0.3753760546987146	0.04551724153980566	0.04521468971273161
INTERPRO	IPR003008:Tubulin/FtsZ, GTPase domain	7	0.8036739380022963	3.4725002526574323E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B	753	23	17358	7.015763034817253	0.3753760546987146	0.04551724153980566	0.04521468971273161
INTERPRO	IPR013838:Beta tubulin, autoregulation binding site	5	0.5740528128587831	3.6978556642382735E-4	TUBB2B, TUBB2A, TUBB3, TUBB, TUBB4B	753	9	17358	12.806551571491811	0.39416772649936227	0.04551724153980566	0.04521468971273161
INTERPRO	IPR022383:Lactate/malate dehydrogenase, C-terminal	5	0.5740528128587831	3.6978556642382735E-4	LDHB, LDHA, MDH1, MDH2, MDH1B	753	9	17358	12.806551571491811	0.39416772649936227	0.04551724153980566	0.04521468971273161
