Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0008021~synaptic vesicle	21	2.4110218140068884	3.429037511765991E-7	SNAP25, GABBR1, RAB3A, SVOP, PRRT2, SLC30A3, SLC6A17, BDNF, SYP, COPS4, RPH3A, TRIM9, STX1B, SV2B, SV2A, DMXL2, PPT1, VDAC1, RAB5A, STX1A, VAMP2	756	131	18538	3.930873621713316	2.153204078896298E-4	1.7721850096483026E-4	1.7101020952975656E-4
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	12	1.377726750861079	6.821736272933656E-7	GPI, LDHA, PKM, PGAM1, PGK1, ALDOC, OGDHL, ENO1, ALDOA, GAPDH, PFKM, HK1	721	42	17561	6.958985535961958	0.002124076870639091	0.002125653022646127	0.002119513460000487
GOTERM_CC_DIRECT	GO:0070161~anchoring junction	44	5.05166475315729	7.436229625544713E-7	GPM6A, GRIA2, SNAP25, NRN1, CHRM1, RAB3A, DGKB, CLSTN3, CHRM4, ICA1, CPLX1, DRP2, RPH3A, TRIM9, CACNG8, NETO1, SV2B, DLGAP1, ATP6V1E1, LZTS1, SH2D5, GRIA3, ATP6V0A1, PPFIA2, SYT5, CHRNB2, GABRA1, GABBR1, PRRT2, SVOP, NDFIP1, SLC30A3, SLC6A17, SYP, COPS4, SLC8A3, GAP43, ARHGEF9, OLFM3, SYT12, DMXL2, PLAA, STX1A, VAMP2	756	472	18538	2.2858712223119	4.668863687324887E-4	1.7721850096483026E-4	1.7101020952975656E-4
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	91	10.44776119402985	8.465851956918642E-7	DMGDH, SLC25A3, MTFMT, TFRC, GLDC, RMND1, CISD1, MPV17L2, OGDHL, GHITM, PHB2, HK1, TXN2, CHCHD2, MRPL2, OPA1, FAM162A, CHCHD6, ANXA6, ME3, PRKACA, SLC25A44, RMRP, COX8A, BCKDHA, MCCC2, TSFM, GABARAPL1, MECR, SDS, RSAD2, MRPS25, FBXW7, MRPS18A, TIMM23, OLFM4, NIPSNAP1, TUFM, OXA1L, SARS2, PKM, ALDH5A1, MTHFD1, BDH1, IVD, BOLA3, CRY2, CMPK2, PFDN2, NDUFS1, VDAC1, UQCRC2, LETMD1, SLC25A5, DLD, SLC25A11, FH, ENY2, ECHS1, NDUFB5, CEND1, TIMM10, HIGD1A, SLC9A1, MRPL55, APOO, SAMM50, OXCT1, CRYM, NDUFV2, NDUFA7, IDH3G, MDH2, BDNF, ADHFE1, GBF1, IDH2, DNAJC11, IMMT, ACADSB, CS, PDP1, MRPL30, GLUD1, FIBP, GLUD2, PNKD, APEX1, ACO2, ALDH18A1, CRAT	756	1320	18538	1.6904741863075197	5.315144240969349E-4	1.7721850096483026E-4	1.7101020952975656E-4
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	37	4.247990815154994	1.1579797565182918E-6	NAPA, GPM6A, SNAP25, NRP1, ARF1, CHRM1, DGKB, CLSTN3, HPCA, IL1RAP, PHB2, CPLX1, DRP2, ADGRA1, NETO1, SV2A, PTK2B, DLGAP1, NRCAM, NPTX2, CACNG3, GPC6, PPFIA2, GABBR1, PRRT2, SLC30A3, SLC6A17, SORCS3, YWHAZ, RAB11A, CALY, DLG3, SPARCL1, PLCB1, NPTXR, STX1A, PFN2	756	368	18538	2.4654431216931214	7.269473537977467E-4	1.8180282177337182E-4	1.754339331125212E-4
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	128	14.695752009184845	1.4654562081731996E-6	AHCYL1, CPNE5, TFRC, COL12A1, CPNE6, PITPNA, GHITM, ENO1, MPO, ACTG1, CAPNS1, SCN11A, TUBB3, ARHGDIA, CFL1, CAPN5, CHP1, ATP6V1E1, PRKACA, PPFIA2, TECTA, GBP6, ATP6V1G1, TPM3, SERPINF1, APLP2, C2ORF16, KRT5, OLFM4, TUFM, ACLY, MTHFD1, CDC37, SUB1, RAB35, CHMP4B, PLAA, PRTN3, VDAC1, VPS25, CES2, PFN2, GPM6A, PSMD12, RAB5C, GLO1, TXN, SLC9A1, PRDX2, LDHB, LDHA, S100A16, PGK1, SFN, WNT1, ATP6V1D, ELANE, ATP6V0A1, ALYREF, FUCA1, IDH2, GDF2, EIF2S1, CS, BMP3, ARPC3, PTPRA, ALB, SRPRA, LCN2, PPT1, UBE2N, NIT2, PAM, RAB5A, LGMN, ARF3, ROBO2, GPI, PYGB, ARF1, SLC25A3, ABCC11, CHL1, CHMP1B, ANXA6, CD38, ACP2, CTSG, TUBB, PGAM1, YWHAZ, MUC5AC, PSMA5, DDB1, ANO1, TUBB2A, PKM, ALDOC, PLCB1, ALDOA, ATP6V0C, GAPDH, ARF5, NAPA, FH, DCTN2, SEMA3G, CLEC3B, SAMM50, PSMB2, GPC1, CRYM, MDH1, MDH2, CD70, GSS, RFTN1, SLC12A1, LAMB1, MUC5B, TUBB4B, SORL1, RAB11A, AGT, ASS1, MARCKS, NUCB1	756	2076	18538	1.5119022132509607	9.198838202950643E-4	1.8406129974655384E-4	1.7761329243059178E-4
GOTERM_CC_DIRECT	GO:0030672~synaptic vesicle membrane	15	1.7221584385763489	7.94816094793057E-6	SYT5, SVOP, PRRT2, ICA1, SYP, RPH3A, SYT12, SV2B, SV2A, DMXL2, CALM3, ATP6V1E1, ATP6V0C, VAMP2, ATP6V0A1	756	85	18538	4.327264239028945	0.00497902825183183	8.058756442521841E-4	7.77644331873923E-4
GOTERM_CC_DIRECT	GO:0043005~neuron projection	35	4.018369690011482	8.982690302174027E-6	PCSK1, GPI, GPM6A, SNAP25, NRP1, NRSN2, ARF1, TPH1, NRSN1, CPNE5, RASGRF1, STMN3, PTGS2, MCHR1, KIF17, RPH3A, SV2B, SV2A, NRCAM, RGS7, CHRNB2, GABRA1, SLC30A3, LIMK1, SYP, HTR3B, TUBG1, ADCYAP1, VGF, ATP13A2, PAM, STX1A, CAMK1G, CDK5R2, VAMP2	756	370	18538	2.3195695695695693	0.005625273409403775	8.058756442521841E-4	7.77644331873923E-4
GOTERM_BP_DIRECT	GO:0007017~microtubule-based process	10	1.1481056257175661	1.3789132601713355E-5	TUBB2B, TUBB2A, DCTN2, TUBB3, TUBB, TUBG2, TUBG1, TUBB4B, TRIM54, DNAL4	721	37	17561	6.582824155639691	0.04207043114635678	0.02039600891779123	0.02033709875082713
GOTERM_CC_DIRECT	GO:0045202~synapse	41	4.707233065442021	1.616545098077857E-5	SNAP25, MYLK2, NRN1, CHRM1, CHRM4, CPNE6, CPLX1, HAPLN1, RPH3A, HTR6, PDZD11, GPC1, ARHGDIA, CAPN5, DLGAP1, TAC1, GPC6, PPFIA2, CHRNB2, GABRA1, LYNX1, EGR3, NDFIP1, CARTPT, NMNAT2, HTR3B, EIF2S1, TUFM, CACNB1, EXT1, SLC8A3, GJD2, OLFM3, VGF, SST, CRH, PLAA, VDAC1, PDE7B, FGF12, VAMP2	756	481	18538	2.09016159016159	0.01010062780973553	0.001268987901991118	0.0012245329117939769
