Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa01200:Carbon metabolism	27	3.0998851894374284	8.932120056694272E-12	GPI, FH, ECHS1, GLDC, OGDHL, ENO1, SDSL, HK1, PGK1, ME3, SDS, MDH1, IDH3G, MDH2, PGAM1, IDH2, CS, GLUD1, GLUD2, PKM, ACOX1, ALDOC, ACO2, ALDOA, DLD, PFKM, GAPDH	368	114	7831	5.039974256292907	2.8046722722052664E-9	2.8046856978020012E-9	2.626043296668116E-9
KEGG_PATHWAY	hsa01230:Biosynthesis of amino acids	17	1.951779563719862	1.7800057604094624E-7	SDS, IDH3G, PGAM1, IDH2, ENO1, SDSL, ASS1, CS, PKM, PAH, PGK1, ALDOC, ALDH18A1, ACO2, ALDOA, GAPDH, PFKM	368	73	7831	4.955591125670041	5.5890623917087545E-5	2.794609043842856E-5	2.6166084678019096E-5
REACTOME_PATHWAY	R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle	14	1.6073478760045925	1.1330449589634399E-6	FH, IDH3G, MDH2, ADHFE1, GLO1, IDH2, PDP1, CS, LDHB, LDHA, VDAC1, ME3, ACO2, DLD	501	55	10614	5.3927054980947196	0.00145716698801579	8.458735948002306E-4	8.281417725489835E-4
REACTOME_PATHWAY	R-HSA-112315~Transmission across Chemical Synapses	33	3.788748564867968	1.3134683149071903E-6	GRIA2, SNAP25, RAB3A, RASGRF1, PRKAG1, KIF17, CPLX1, NCALD, CACNG8, GNG3, TUBB3, TSPAN7, PRKACA, CACNG3, GRIA3, PPFIA2, PRKCG, CHRNB2, GABRA1, GABBR1, HTR3B, TUBB4B, PRKAB1, CACNB1, TUBB2B, ARHGEF9, ALDH5A1, TUBB2A, DLG3, CALM3, PLCB1, STX1A, VAMP2	501	270	10614	2.5893546240851633	0.001689006851218977	8.458735948002306E-4	8.281417725489835E-4
KEGG_PATHWAY	hsa01100:Metabolic pathways	105	12.055109070034444	4.498157758675603E-6	DMGDH, MTFMT, AHCYL1, DGKB, GLDC, TXNDC12, PRDM2, OGDHL, ENO1, HDDC3, HYKK, ATP6V1E1, MCCC2, ATP6V1G1, ATP6V1G2, ST6GAL2, MECR, SDS, ACSL6, KMO, CHIT1, ACLY, MTHFD1, CMPK2, CYP2E1, UQCRC2, TPH1, GLO1, SDSL, NEU3, LDHB, TPO, LDHA, RDH12, PGK1, PNPO, NDUFV2, ATP6V1D, ATP6V0A1, ST3GAL3, IDH2, ACADSB, EXT1, CS, GLUD1, GLUD2, PAH, PPT1, ACO2, ALDH18A1, NIT2, ITPA, PIGS, GPI, PYGB, HK1, PDE4A, CD38, ACP2, ME3, UPP1, COX8A, BCKDHA, HGSNAT, HMGCS1, PGAM1, BAAT, DDOST, PKM, ALDH5A1, DCT, BDH1, ACOX1, IVD, NDUFS1, ALDOC, PLCB1, ALDOA, ATP6V0C, GAPDH, DLD, FH, ECHS1, NDUFB5, ALOX12B, PTGS2, EXTL1, OXCT1, GCNT4, CBR3, NDUFA7, NDUFA6, NDUFA5, MDH1, IDH3G, MDH2, GSS, NMNAT2, ASS1, MGAT4C, PDE10A, GSTA4, PNPLA3, PDE7B, PFKM	368	1481	7831	1.5087026245486304	0.0014114277105606865	4.6218850257791986E-4	4.3274974445193766E-4
KEGG_PATHWAY	hsa00020:Citrate cycle (TCA cycle)	10	1.1481056257175661	5.887751625196431E-6	CS, ACLY, FH, MDH1, IDH3G, MDH2, IDH2, OGDHL, ACO2, DLD	368	30	7831	7.093297101449275	0.0018470515497558404	4.6218850257791986E-4	4.3274974445193766E-4
REACTOME_PATHWAY	R-HSA-1428517~The citric acid (TCA) cycle and respiratory electron transport	22	2.525832376578645	6.950173331886587E-6	COX8A, NDUFA7, FH, NDUFA6, NDUFA5, NDUFB5, IDH3G, MDH2, ADHFE1, GLO1, IDH2, PDP1, CS, LDHB, LDHA, NDUFS1, VDAC1, ME3, ACO2, UQCRC2, NDUFV2, DLD	501	150	10614	3.107225548902196	0.008905017523197278	0.00294356304827504	0.002881857922263063
REACTOME_PATHWAY	R-HSA-112316~Neuronal System	41	4.707233065442021	9.141500149922484E-6	GRIA2, SNAP25, RAB3A, RASGRF1, PRKAG1, NRXN3, IL1RAP, KIF17, CPLX1, NCALD, KCNV1, CACNG8, GNG3, TUBB3, TSPAN7, DLGAP1, PRKACA, CACNG3, GRIA3, PPFIA2, PRKCG, CHRNB2, KCNF1, GABRA1, GABBR1, KCNB2, HTR3B, TUBB4B, PRKAB1, CACNB1, GJD2, TUBB2B, ARHGEF9, ALDH5A1, TUBB2A, DLG3, SYT12, CALM3, PLCB1, STX1A, VAMP2	501	410	10614	2.118562874251497	0.011696225545345773	0.00294356304827504	0.002881857922263063
REACTOME_PATHWAY	R-HSA-70263~Gluconeogenesis	10	1.1481056257175661	1.4872960234852399E-5	GPI, MDH1, MDH2, PGAM1, PGK1, ALDOC, ENO1, ALDOA, SLC25A11, GAPDH	501	33	10614	6.419887497731809	0.018959604288273924	0.0038312745564979783	0.0037509605712297747
REACTOME_PATHWAY	R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission	25	2.8702640642939152	3.4348228714821175E-5	GRIA2, RASGRF1, PRKAG1, KIF17, NCALD, CACNG8, GNG3, TUBB3, TSPAN7, PRKACA, CACNG3, GRIA3, PRKCG, CHRNB2, GABRA1, GABBR1, HTR3B, TUBB4B, PRKAB1, TUBB2B, ARHGEF9, TUBB2A, DLG3, CALM3, PLCB1	501	205	10614	2.5836132612823133	0.043244044115971936	0.007373419764114945	0.0072188527348982495
REACTOME_PATHWAY	R-HSA-71403~Citric acid cycle (TCA cycle)	8	0.9184845005740528	4.5365332458799724E-5	CS, FH, IDH3G, MDH2, IDH2, ME3, ACO2, DLD	501	22	10614	7.7038649972781705	0.05671470962987413	0.0075762144218642115	0.007417396262399667
