ID	adj.P.Val	P.Value	t	B	logFC	FC	Gene.symbol	Gene.title
10025911219	1,96E-27	5,36E-29	12,886381	55,1760647	0,361	1,28431580898943	SLC39A12	solute carrier family 39 (zinc transporter), member 12
10025908612	3,39E-36	7,47E-39	15,8670343	77,66736	0,343	1,26839139932587	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)
10025903522	6,14E-35	2,1E-37	15,4298729	74,3610423	0,336	1,26225203211212	ZFP36L1	zinc finger protein 36, C3H type-like 1
10023809998	8,19E-19	8,66E-20	9,9972326	34,1882435	0,25	1,18920711500272	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)
10025904814	6,58E-18	7,71E-19	9,6852383	32,028649	0,232	1,17446197121365	AZGP1	alpha-2-glycoprotein 1, zinc-binding
10023816175	1,93E-25	7,76E-27	12,2239124	50,2465228	0,219	1,16392653440214	ZNF217	zinc finger protein 217
10023811449	1,86E-23	1,06E-24	11,5622158	45,3783654	0,216	1,16150873192572	GLIS3	GLIS family zinc finger 3
10023812094	7,35E-35	2,66E-37	15,3991029	74,1282103	0,215	1,16070391438372	ZBTB16	zinc finger and BTB domain containing 16
10023822976	8,19E-31	9,83E-33	14,0206686	63,7023182	0,214	1,15989965450543	BAZ2A	bromodomain adjacent to zinc finger domain, 2A
10023819255	2,03E-22	1,35E-23	11,2160662	42,859524	0,211	1,15749021699012	BAZ1A	bromodomain adjacent to zinc finger domain, 1A
10023821617	8,19E-13	1,65E-13	7,8397945	19,9310942	0,204	1,15188764234936	ZNF652	zinc finger protein 652
10023816685	2,68E-19	2,68E-20	10,1631045	35,3473833	0,201	1,14949484803468	IKZF1	IKAROS family zinc finger 1 (Ikaros)
10025908633	3,37E-27	9,7E-29	12,8076387	54,5877334	0,2	1,14869835499704	SLC39A1	solute carrier family 39 (zinc transporter), member 1
10023804685	1,96E-13	3,7E-14	8,0752426	21,399847	0,199	1,147902413855	IKZF2	IKAROS family zinc finger 2 (Helios)
10023809600	6,82E-17	8,95E-18	9,3303128	29,6072601	0,192	1,14234624684855	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)
10023826392	1,4E-14	2,36E-15	8,4998747	24,1088285	0,186	1,1376052278725	BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)
10023847702	1,22E-17	1,48E-18	9,5912736	31,3838033	0,184	1,13602926478669	ZNRF3	zinc and ring finger 3
10025903671	1,86E-25	7,46E-27	12,2292153	50,2857827	0,183	1,13524210214606	ZC3HAV1	zinc finger CCCH-type, antiviral 1
10023807078	4,96E-20	4,54E-21	10,4124522	37,1032761	0,179	1,13209890211067	ZBTB20	zinc finger and BTB domain containing 20
10023805556	4,68E-23	2,82E-24	11,4294088	44,4094739	0,179	1,13209890211067	ZFHX3	zinc finger homeobox 3
10025908530	5,07E-24	2,63E-25	11,7506499	46,7580644	0,171	1,12583858613676	ZBTB1	zinc finger and BTB domain containing 1
10023810252	1,02E-25	3,88E-27	12,3165229	50,9326722	0,171	1,12583858613676	ZNF395	zinc finger protein 395
10025907022	3,12E-20	2,79E-21	10,4806894	37,5864777	0,163	1,11961288865424	ZHX2	zinc fingers and homeoboxes 2
10025929524	7,19E-16	1,05E-16	8,9674219	27,1740386	0,161	1,11806185096586	ZKSCAN1	zinc finger with KRAB and SCAN domains 1
10023809063	2,85E-09	8E-10	6,4118867	11,6090084	0,159	1,11651296198257	ZNF638	zinc finger protein 638
10023830346	1,38E-26	4,43E-28	12,6058606	53,0828893	0,155	1,11342161822869	ZC3H12C	zinc finger CCCH-type containing 12C
10025907544	1,27E-16	1,71E-17	9,2355602	28,967632	0,155	1,11342161822869	ZNF397	zinc finger protein 397
10023816256	1,48E-30	1,91E-32	13,9331792	63,0420514	0,146	1,10649735309227	ANKZF1	ankyrin repeat and zinc finger domain containing 1
10025902205	2,91E-29	5,35E-31	13,4949968	59,7407207	0,146	1,10649735309227	ZNF558	zinc finger protein 558
10023823986	7,14E-17	9,4E-18	9,3231758	29,5589792	0,144	1,10496448479991	VEZF1	vascular endothelial zinc finger 1
10025907543	2,39E-19	2,37E-20	10,1803544	35,4683466	0,144	1,10496448479991	ZMYND8	zinc finger, MYND-type containing 8
10025904719	7,88E-23	4,92E-24	11,3535946	43,8577395	0,143	1,10419884716309	ZRSR2	zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2
10025903883	2,92E-35	9,13E-38	15,5390257	75,18689	0,142	1,10343374004196	ZSCAN22	zinc finger and SCAN domain containing 22
10025902772	6,68E-33	4,8E-35	14,7184695	68,9771061	0,14	1,10190511587661	ZCCHC8	zinc finger, CCHC domain containing 8
10025930074	1,87E-22	1,23E-23	11,2282481	42,9478027	0,14	1,10190511587661	ZNF609	zinc finger protein 609
10025908659	1,61E-13	3,03E-14	8,1065663	21,5970887	0,139	1,10114159809796	ZNF417	zinc finger protein 417
10025906482	1,84E-06	6,82E-07	5,1077505	5,0539199	0,138	1,10037860936614	ZNF423	zinc finger protein 423
