"","AZIN2_rna","SMG5_rna","HP1BP3_rna","ZBTB40_rna","NUP210L_rna","GPATCH3_rna","SNORA73B_rna","RAB42_rna","RNU11_rna","TSSK3_rna","SLFNL1_rna","FAAH_rna","DIO1_rna","SLC25A24_rna","HIPK1_rna","BNIPL_rna","S100A4_rna","PMVK_rna","IGSF8_rna","LHX4-AS1_rna","MAP10_rna","SNORA14B_rna","FH_rna","ZNF692_rna","COBLL1_rna","MDH1B_rna","NCOA1_rna","LYPD6_rna","PLA2R1_rna","KRTCAP3_rna","C2orf16_rna","DYNC2LI1_rna","EPCAM_rna","C2orf81_rna","LBX2_rna","RNU4ATAC_rna","ITGB5_rna","TFDP2_rna","XXYLT1_rna","ACAA1_rna","SPCS1_rna","NIT2_rna","EAF2_rna","FAM162A_rna","ACAD9_rna","TM4SF18_rna","NDUFB5_rna","HTR3E_rna","PPP1R2_rna","N4BP2_rna","SLAIN2_rna","USP53_rna","ABCA11P_rna","DANCR_rna","ANXA3_rna","CCNA2_rna","SIL1_rna","RNF180_rna","HMGCS1_rna","SREK1_rna","PDE4DIP","RP11.92G12.3","SMAP1","PHF20L1","ELF2","LRG_221","WBP4","RP11.505P4.7","PGM1","PKP4","CCNDBP1","WDR47","SNX7","PTTG1","DUT","SLC25A40","ATP6V1H","ACOT13","PDK1","C5orf28","OXSM","C16orf52","MLH1","LSM3","SPAG1","RP4.791C19.1","RP11.474G23.3","NDST4","ANAPC4","UTP23","MEGF10","LONP2","TIRAP","AUTS2","AGFG1","WDR11","DNAJC13","CTD.2021J15.1","RP11.527D7.1","DCAF10","ZNF669","LINC01023","LCORL","CTC.548K16.1","CCDC88A","SLC35G6","AC025166.1","METTL21B","PCK2","GPR113","MFAP1","ZC3H8","RPL36AP43","WDR43","SIK1","SRSF12","AC090952.5","MIS12","CHMP5","UBE4B"
"AZIN2_rna",0.765696904005734,0.073417595811596,0.00314758382976536,-0.0951552510629195,0.014227493001152,0.79694549333612,-0.721188599169706,-0.0615753859207233,-0.763750703819526,-0.112657185294515,-0.107668674672192,0.735714868584701,-0.162870183962164,-0.617719460457138,-0.804330121858859,0.0582795293428549,-0.0849531333891546,0.637156302711297,0.732301983775481,-0.280228253603108,-0.0506145762125895,-0.730307773537178,0.279927388455481,-0.0485178010047885,-0.67947189399506,-0.0407733629500371,-0.724012944474171,-0.753428479341617,-0.692250552445722,-0.137529149837638,0.204195168198145,-0.071706340114873,0.702728618401596,0.707426180816225,-0.015642380416414,-0.668010059553557,-0.274474578378543,-0.671695547220863,0.449592571282013,0.764349552125862,0.0134142573597096,0.151039319287868,-0.786648424209002,0.115787457088365,0.744493898304585,-0.614249373171336,0.133853179028889,-0.188558863968562,0.266651665588879,-0.652855967511512,-0.719074820363129,-0.689000187695646,0.180306644421391,-0.764442173164103,-0.655105989226723,-0.132180770483909,0.695609109893708,-0.696433680500384,0.0918246159010062,-0.706101572574753,0.0871607515976676,0.64399642727396,0.740579642187433,0.588083661556958,0.553764574290429,0.651081850594457,0.0765384333874687,0.614732122749039,0.167010357591602,0.624039741113818,0.0494092553625023,0.554677848621261,-0.0148710901917998,0.140379598004953,0.141483063724315,0.654670158734351,0.58425054483301,0.650993497635493,0.130246615740033,0.610219652271408,0.722660226875371,-0.0867221195833818,0.621929105729902,0.658841710160661,-0.0159291944769035,0.0840543821679852,0.653798692509604,-0.172839546549619,0.654124835799906,0.554923158066135,0.60640916903924,-0.105143691466822,-0.0743219059925184,0.650080843606583,0.0337583381580996,0.0033863201644757,0.0484648393745125,0.609355286999901,-0.390698933355125,-0.153114015364585,0.64900524371275,0.563327538606658,0.721666341367319,-0.218697704286311,0.628276692785557,0.0229721940804837,0.0192424761243886,0.0513071424943108,-0.213811765289197,0.783059084465161,-0.183589286350323,-0.0888597232105812,0.123108048448696,0.0923030080009478,-0.11058066200929,0.03525845176633,0.531363234867063,0.565744329507524,0.653564017479099,0.672095611403547
"SMG5_rna",0.073417595811596,0.689225703300786,0.605937633612321,0.738980783442635,0.73089979039869,0.0901881725775482,0.121188919034381,0.638465628803766,0.0435081135471176,0.739367995866368,0.706003858397128,0.113635367204395,0.662934691811659,-0.12230476657193,0.00824696237513914,0.778174989823975,0.642785500878573,0.0546447580065477,-0.0509359182295117,0.683484871899353,-0.718061459531967,-0.246582210895414,-0.689655236086102,0.738474917192703,0.0742527470150754,-0.726549653375394,-0.345094559429874,-0.205267525336324,-0.225734256723215,0.718006227789985,-0.60390949789338,-0.767825772894966,0.0899973450352844,0.115258202660073,0.732423856201517,-0.241501219094601,0.640731926647664,0.180196311736722,-0.560981104145545,0.156052453993639,-0.731435738630536,-0.750077711778845,-0.0600464326164495,-0.750235005016204,-0.0254304516251219,0.0795066223936714,-0.717834058537002,0.698059438507906,-0.684934512941775,-0.0840274225046928,-0.163867182648428,-0.200173437266641,-0.627860731992205,0.017017499371351,0.0714676386932888,0.706209558000189,0.309299021658109,-0.310086041752133,-0.74167673254011,-0.0194613016532687,0.640588679102501,0.256263750973175,0.305649761172595,0.308901976267197,0.445114839440417,0.230366711914094,0.566906502084391,0.294943124483467,0.629233257450745,0.440219375231396,0.733457130056863,0.394080139534851,0.632356827940089,0.699023550824354,0.566848992848801,0.296141892323566,0.272314708155095,0.163744276324062,0.681271660678469,0.299376522794662,0.350507412521894,0.768593694676724,0.43529313073208,0.304498319382364,0.650553061045885,0.607190330002472,0.183133633801501,0.390559870581848,0.271575013523316,0.281490024770239,0.121858757695001,0.598925317303503,0.520821098789178,0.392343563713021,0.557013161198353,0.555881324875574,0.67522147287053,0.196852920240647,0.500529071436571,0.470518751195655,0.42116882670691,0.19111596978821,0.200909207891884,0.496025529863104,0.141266515527593,0.598592156276031,0.633748450114617,0.570285814434536,0.497657074053782,0.0757254188242551,0.557840914481594,0.492788738998389,0.668327404016995,0.577629076222173,0.522541881207822,0.575635478668498,0.232717054650218,0.316913240181879,0.304413740705583,0.324857857897766
"HP1BP3_rna",0.00314758382976536,0.605937633612321,0.537688391905933,0.663766164958267,0.647730516657895,0.0155047299594347,0.166015735070694,0.571809731412272,0.100499840884331,0.665527815318053,0.635503441568141,0.0412813290979124,0.601739260018676,-0.0585370964990844,0.0724829288608452,0.686132013202784,0.577538763446075,-0.00310520244876952,-0.104546384738429,0.629490993984174,-0.633384981610344,-0.159747818440739,-0.634944587344348,0.659538812917717,0.1209668193492,-0.641717955953722,-0.247715738274304,-0.12119610584455,-0.144322420057763,0.648578079484797,-0.552685347020369,-0.675856366413952,0.0229681296252778,0.0450138189822675,0.651503417120008,-0.160283920704945,0.59106937285313,0.214392122797121,-0.534454526356923,0.0766188673561679,-0.650445672000168,-0.67814521978236,0.0104205077936193,-0.675428995235965,-0.0828906764849159,0.120347252766774,-0.64812742762061,0.635003666955553,-0.629678082744439,-0.0217084564317309,-0.0872245322038709,-0.121893186403822,-0.572013648133421,0.0770378434261801,0.116520276383247,0.637671863122241,0.218238021517681,-0.218869926377898,-0.665889767251865,0.0399260873168291,0.561644951632431,0.175335322581399,0.211355048200941,0.226596514298657,0.350304786402718,0.151770262000063,0.497091441299945,0.212045152928564,0.545094884132208,0.340265439660126,0.647150700480141,0.304922869957495,0.562602753011429,0.609211224170256,0.49177901076811,0.209873893611961,0.194425356516914,0.0926309057940312,0.594272237411729,0.216346634930927,0.25263078542738,0.689372919205763,0.336062974585253,0.216954667755068,0.578842847675481,0.532245997670333,0.109617262075149,0.360736159570529,0.18810792309091,0.204946987288372,0.0590574190344349,0.540235977097075,0.468399116113942,0.295652255747175,0.491774018492118,0.493229724658299,0.595526367249414,0.125397566517159,0.476014850037124,0.430124563306307,0.321330079431106,0.124033234852791,0.119900003016097,0.458082289627298,0.0745158099790968,0.529561118823331,0.561074566342699,0.502135618444209,0.45913492717863,0.00378987206146082,0.510116921038236,0.444690114797433,0.583358816599956,0.505333661100162,0.472864243023385,0.508185135691727,0.163555657425697,0.235518589615749,0.217307142885703,0.233955854379506
"ZBTB40_rna",-0.0951552510629195,0.738980783442635,0.663766164958267,0.832217781204701,0.798261222735822,-0.0839332508647142,0.298355094187992,0.71428609872205,0.222932780005138,0.836657722949118,0.798925199651001,-0.0441727967079064,0.764358730818084,0.00759504808075227,0.193574184111616,0.839998070510551,0.724386741646565,-0.0862521429441851,-0.223863318796441,0.81381905951835,-0.77583438118488,-0.102860961063259,-0.820516629970899,0.820963417102391,0.237312871048148,-0.787400556147655,-0.212336545866788,-0.0522497337732945,-0.0887296379354877,0.818937960436257,-0.709110864511215,-0.825568433314829,-0.0625271749603922,-0.0359031266377939,0.806785336633491,-0.111581414750545,0.7656149600501,0.351709511781184,-0.718333729737305,-0.00422642553389832,-0.805190560525675,-0.85720797216959,0.114625167115685,-0.849292941987361,-0.198690388171142,0.228110993848171,-0.817905809370813,0.808771044255591,-0.812294020456561,0.0576321198934191,-0.014730406696567,-0.0614446252771623,-0.729895930548576,0.194041063553056,0.228668589138833,0.804774368575039,0.1795985903406,-0.180272484829865,-0.834410116857049,0.140652815162914,0.682491081429327,0.133279658157413,0.16527951769596,0.203831790009018,0.361080178983548,0.103254689334537,0.604126113740006,0.182410399395372,0.651719218436032,0.339589066134615,0.792994233488106,0.304904564229112,0.696872062795009,0.734362880370413,0.589163376424047,0.174562372288475,0.164588558598869,0.0302149187656658,0.717220377636914,0.18830744505462,0.218582775139795,0.862757395666956,0.334671031945554,0.182769223645192,0.717069316365605,0.646578177294677,0.0508342636565158,0.467952007559095,0.147746749193322,0.181378791880666,-0.00548933404571698,0.680920568981733,0.588198112479111,0.281112722459215,0.603091455459308,0.608818234810683,0.729348039451285,0.0760754765559529,0.638528881346413,0.5511117158291,0.31297008364423,0.0803439134597152,0.0547571858984504,0.59412945283404,0.0107768879903179,0.651162722815756,0.690571781652674,0.613620554404794,0.594797712488151,-0.0966076785192655,0.653863332625164,0.560792319232742,0.704663079190373,0.612268064088143,0.598403696085288,0.623169055889897,0.133298122608974,0.217742282817894,0.183887286550987,0.202055342289826
"NUP210L_rna",0.014227493001152,0.73089979039869,0.647730516657895,0.798261222735822,0.780435853520231,0.0295385388357445,0.190149543369111,0.687950197465431,0.110650441875162,0.800144727323321,0.764046017086482,0.0597539273732178,0.722622063252662,-0.0789316398674773,0.0763488127744967,0.827293854527017,0.694532639045649,0.00494359395223704,-0.115953446558518,0.754451672875441,-0.763651471151543,-0.202382360799125,-0.761025052160806,0.793804687452211,0.136453183089293,-0.773555059117365,-0.308260788563148,-0.156258936425683,-0.183282568242496,0.779388458403981,-0.662969563615987,-0.815099035550191,0.0372446673525905,0.0638644450428108,0.784573498285544,-0.202179057881362,0.708248251765864,0.249097236748089,-0.637664500581245,0.102711022448296,-0.783329729727336,-0.814820250252795,0.00183077543713296,-0.8120288072979,-0.0897012880752621,0.13659581006097,-0.778895714319474,0.762341515533338,-0.754862076513723,-0.0350475588412237,-0.114869306147243,-0.156220505946778,-0.686577596284889,0.0823792111906545,0.13142906763003,0.766323965077527,0.272365451984605,-0.273137869083642,-0.800864661905874,0.038470352474151,0.677733110209568,0.219982354519561,0.264687294615168,0.280968402236929,0.429516919093222,0.191692970575612,0.599828594997161,0.263803354514637,0.658885564239488,0.418381550446251,0.78021692570389,0.374863307537031,0.677496224800026,0.735755736951468,0.594314513739379,0.26173223439187,0.242163489736723,0.120453797940013,0.71762245552235,0.268923322950354,0.314162909599906,0.829221494443521,0.413290586723396,0.270318434976249,0.69704426451265,0.642277438613011,0.140953422407555,0.432179150026467,0.23550599235902,0.254437900439676,0.0794042565681146,0.649323337612093,0.563210316219867,0.364996414201787,0.592840277717363,0.594179837247252,0.718018516925284,0.15935629367965,0.568072035588403,0.516031742799709,0.395912696369775,0.157085519555609,0.154264780843883,0.548815139579129,0.0983231355193357,0.638210779532851,0.6761203518762,0.605560812763848,0.550149716007967,0.0152378152368624,0.611973419076625,0.534452832824338,0.704379094392929,0.609971853337519,0.56809472516574,0.612629194369438,0.204257706971454,0.291411266534306,0.270671087031576,0.290978333256892
"GPATCH3_rna",0.79694549333612,0.0901881725775482,0.0155047299594347,-0.0839332508647142,0.0295385388357445,0.829747482767486,-0.746777549002734,-0.0510775320823942,-0.792562730804334,-0.102107747795682,-0.0975989824243338,0.766609974406497,-0.155816060320664,-0.644202587375258,-0.835431633682153,0.0762576383048932,-0.0752768560083073,0.663028873011137,0.75974147516278,-0.277321441880774,-0.0670809311337386,-0.763677075732817,0.276884291853676,-0.0354930017097247,-0.7043868339899,-0.0570285337148624,-0.759126648878519,-0.786862385109522,-0.723719443213103,-0.128377926558284,0.199939344483427,-0.0899974451517533,0.731864109241562,0.737254342033703,-0.00146174148890273,-0.6988549687946,-0.27220734046068,-0.69416902600679,0.455743267437992,0.797214284753131,-0.000833047443538792,0.141765727634932,-0.818441512252552,0.105140286595237,0.772922339203194,-0.63652272867075,0.124562530124108,-0.181794157030631,0.263187798709326,-0.679932136203202,-0.750337305891746,-0.719826610672229,0.174638552193323,-0.793815965788188,-0.679129949351201,-0.12305982333911,0.728895860614163,-0.729768377202436,0.0804187032812077,-0.733943957767951,0.103483534270313,0.674205893159018,0.775540921384843,0.617182384065511,0.584279496180378,0.681043859778467,0.0909605243421489,0.644584944094723,0.186207980690853,0.657187736896879,0.0661396154510565,0.58419780696217,-0.00268097026683357,0.15995113052695,0.158428691505555,0.686099761086029,0.61246150483557,0.679606865743849,0.14906579524487,0.639986569955585,0.75783063847388,-0.0745743557119193,0.654895583130688,0.690602208733261,-0.00341279885859016,0.0995820433950753,0.682912611571301,-0.171672632195546,0.685037196986715,0.582179290296668,0.632443607057084,-0.0971379169744961,-0.0666949869258584,0.683274493358799,0.0463176077212471,0.0147420355124102,0.0639826208304567,0.637018498290038,-0.395780778282432,-0.149565789307943,0.682739104997057,0.589085600937665,0.753777505061401,-0.217183999492934,0.655553094136842,0.0359516983126333,0.0327868470092482,0.0648166098852238,-0.212075178147256,0.815029220406661,-0.179462610188054,-0.0823639714820193,0.14138835498368,0.107554445623286,-0.104328543250492,0.0482520500582362,0.556718684918906,0.594136378276077,0.685117639968408,0.704782439853843
"SNORA73B_rna",-0.721188599169706,0.121188919034381,0.166015735070694,0.298355094187992,0.190149543369111,-0.746777549002734,0.73237452283667,0.237783752151169,0.751927270807489,0.315415940522266,0.301274912179931,-0.680925966883313,0.342727604102545,0.564213802255327,0.781395180232636,0.16067004680352,0.261633321114585,-0.601918842875624,-0.723537713190368,0.462137320773792,-0.151322046153568,0.638594603487224,-0.463567508005488,0.253039756298344,0.678870875376411,-0.163222807823637,0.605011035526307,0.672517234651793,0.607548285400026,0.333547330209767,-0.366287207260666,-0.144776936270391,-0.655569983032232,-0.653072047612954,0.219507480370998,0.579669151120536,0.444635534198732,0.700898159281091,-0.592007651831593,-0.69682730918363,-0.217073567149923,-0.355581982019198,0.745213493210559,-0.321480038037508,-0.728230744583396,0.617160619119714,-0.329938655934779,0.377410564683691,-0.449391168713206,0.608927779293992,0.650792665477072,0.611531705779519,-0.34983089782076,0.745205815721748,0.65449237192216,0.325075330984882,-0.587485800076193,0.588064910733408,-0.295881163326108,0.678517593467203,0.0943065874380567,-0.552290008982964,-0.632063568245655,-0.483444756254735,-0.412197255450134,-0.566378740550082,0.0840373334321454,-0.513151821928137,0.0137939603819217,-0.481633429470712,0.156785144327996,-0.427321227669123,0.190840373489835,0.0590615857872414,0.0211143027052594,-0.551502325338626,-0.489940232658185,-0.584881694765665,0.063923633889294,-0.507543954351266,-0.602190502452768,0.298448944614927,-0.480963502477726,-0.553211440875933,0.196942267801797,0.0879969158360218,-0.582188990765918,0.276388022054888,-0.55782859402189,-0.458972962193957,-0.55338281490383,0.268952830415914,0.21730597867794,-0.520215469902587,0.122714825997461,0.151818121132819,0.141451415457586,-0.535312141132801,0.518094897152099,0.279590960259963,-0.51113098988186,-0.492329203350181,-0.642967665349999,0.35023367966218,-0.569149223017016,0.144763639594557,0.158185405218938,0.109419862152422,0.345956259848964,-0.737362126217662,0.333474097177018,0.22356627337841,0.0672266100656754,0.0717591133097742,0.252907232854465,0.126457649941758,-0.449760534010107,-0.459571075467917,-0.548122934987566,-0.560368920589506
"RAB42_rna",-0.0615753859207233,0.638465628803766,0.571809731412272,0.71428609872205,0.687950197465431,-0.0510775320823942,0.237783752151169,0.613601255575667,0.171686631695324,0.717644424720336,0.685276840483131,-0.0184605615704937,0.654033843932446,-0.0099037695128581,0.145318652134557,0.72507246761575,0.621678916452496,-0.0573289756165247,-0.173325403739326,0.693511377630469,-0.669601883501404,-0.108041006106607,-0.699288248576799,0.705833943251883,0.186316497473926,-0.679302246088906,-0.20216871946694,-0.0650632626654187,-0.0948559791696091,0.701719578011825,-0.605346645071602,-0.713001160922573,-0.0351480540327612,-0.0120907290690748,0.694497095486314,-0.113893686270466,0.652144615207079,0.28505751478081,-0.60675737333631,0.0167090469176032,-0.693182776574257,-0.734323246866794,0.0777877363153831,-0.728444260489246,-0.151318455675316,0.180127017412671,-0.700928414827208,0.691603869820486,-0.692559258074249,0.0322595340180001,-0.0318318981553137,-0.0712678706043711,-0.623885566834283,0.146782736682462,0.179519561189777,0.689662352250102,0.173214127412387,-0.173816529936371,-0.716263109255747,0.102350709831852,0.59017488107367,0.131943852856347,0.162077848377582,0.191224393319773,0.325754464891162,0.106270892037104,0.522393485057209,0.173482837653496,0.565795807575512,0.30911433686187,0.684350198747594,0.277392679606911,0.599845330439339,0.636270802871439,0.511234568380382,0.167786324341054,0.157320721422987,0.0433567296515285,0.621235569678699,0.178442041154464,0.20751281020203,0.740815495926489,0.30482206335292,0.174966243812075,0.617213789212433,0.559159089480365,0.0611916043613467,0.398462539511919,0.144674534907334,0.171001971352489,0.0114163815747471,0.58370238448842,0.504657735426668,0.259439832965468,0.520363353792934,0.524487437167967,0.629504274257599,0.0817495537261335,0.539586492002531,0.470616176468823,0.286851100604497,0.0842007082902071,0.0663774130204788,0.50592287069347,0.0260092532306594,0.56148172273027,0.595326881058885,0.52989965465313,0.506628546298362,-0.0623641779261795,0.558308531275829,0.480665086193794,0.610229460527492,0.529826146151568,0.512482852031581,0.537696858878743,0.128961102438841,0.202611262357446,0.175788763047961,0.191930940140795
"RNU11_rna",-0.763750703819526,0.0435081135471176,0.100499840884331,0.222932780005138,0.110650441875162,-0.792562730804334,0.751927270807489,0.171686631695324,0.781786427601665,0.240743663074534,0.229976542642149,-0.726470662789439,0.278573282165571,0.605355543764808,0.816894468073304,0.0740775345837555,0.196127780140256,-0.636640221285374,-0.751172713072813,0.401075323629172,-0.0715618451453646,0.698238064341934,-0.401826190089566,0.175562074595085,0.701600157317595,-0.0829920617157738,0.674998024848579,0.728749343905708,0.663220736205855,0.262304977506792,-0.310370605559071,-0.0586935339712012,-0.697072071530419,-0.697512007818209,0.141195305738575,0.635945996062511,0.387925768974864,0.711845572569502,-0.551824642447823,-0.748243780065506,-0.138767195246158,-0.2814907153564,0.787280884278917,-0.245776956970851,-0.759169061720862,0.636372310641416,-0.25854857211308,0.310628891027308,-0.387558548342395,0.647529474289668,0.701003959826416,0.664299395828151,-0.290249490921553,0.777954279045961,0.676419785912865,0.25486373093439,-0.652325845060968,0.653027170609348,-0.220017305504127,0.712562275658977,0.0212513808389989,-0.609073145405313,-0.698544432020163,-0.54337736070533,-0.485272970061695,-0.620688447838758,0.0194121296963826,-0.572784045863778,-0.0616486403459476,-0.557360329867535,0.0754184632674395,-0.494932220521454,0.123289351595639,-0.0227057474966196,-0.0464428838057976,-0.613070735610479,-0.545752088628446,-0.631999633217983,-0.015470050214968,-0.567450338873701,-0.672700275639705,0.219450221241421,-0.556063431303725,-0.615870137554109,0.127475958040337,0.0186855320502362,-0.631525722214418,0.242070745034568,-0.616721857894303,-0.514447913499086,-0.593964743686888,0.209092733234111,0.164477980126896,-0.591955273822603,0.0610924288356525,0.091691908945352,0.06641039869696,-0.58411833827188,0.481769514164482,0.235754656121631,-0.585932036561519,-0.538434090765557,-0.697292599533071,0.306612595505461,-0.612814336815856,0.0791433418700571,0.0889408975727194,0.0455715700888372,0.301938104579075,-0.780958707342907,0.281595510550649,0.17442034589522,-0.0104475831504978,0.00526385908738569,0.20153397989752,0.0627582580451116,-0.498907575184195,-0.519357337278862,-0.610533736313682,-0.625823795625733
"TSSK3_rna",-0.112657185294515,0.739367995866368,0.665527815318053,0.836657722949118,0.800144727323321,-0.102107747795682,0.315415940522266,0.717644424720336,0.240743663074534,0.841503968532537,0.803554960323875,-0.0608589507867041,0.770135891494494,0.0215236192171681,0.212217636927692,0.841004995028598,0.728299290067158,-0.100835478961823,-0.240968720813193,0.822375019871468,-0.776836735545954,-0.086702473417796,-0.829084307075701,0.824322272253066,0.253265964934413,-0.78865641157167,-0.196622021398834,-0.0354309697931528,-0.0733889734483016,0.824295263701338,-0.715665906195108,-0.826233223671546,-0.0785213348629926,-0.051929546186943,0.809364877712521,-0.0968496000624994,0.773908298463955,0.367803350295334,-0.730439216942373,-0.0214469898627317,-0.807715533843734,-0.86297510454467,0.132652565199937,-0.854244546999932,-0.216000787141672,0.242570235304732,-0.823177500692471,0.815249183872028,-0.820540101334351,0.0724899111850865,0.0014184869998428,-0.0461018128218384,-0.735970518808597,0.211787750811974,0.244049233503675,0.809972153468489,0.16443317958338,-0.16509036981229,-0.838781123812213,0.156938603397042,0.682412918519801,0.11914840097162,0.14906208904694,0.191154156336103,0.349609349241049,0.0888810153491879,0.604070757376374,0.16907365087498,0.64975833246369,0.326476698555927,0.794071099645827,0.293258083775641,0.699130791670696,0.733229732301496,0.587604519674494,0.160304774845348,0.151888883203073,0.0156415868114474,0.716268041125115,0.175088572726148,0.202915950843479,0.867091783589547,0.321592606483271,0.168440363452238,0.719407628155878,0.646470804681031,0.0362546999342459,0.473135307201734,0.13342739718604,0.169385760185301,-0.019157446968169,0.685167695544055,0.591495317174085,0.267252613568749,0.603996412173589,0.610422810674026,0.73027045506886,0.0625662164586414,0.649088087622222,0.556080492508967,0.299222142635427,0.0678827262185078,0.0386604509552939,0.600693571794961,-0.0033386522499459,0.652443237926403,0.692045069227951,0.614159478346211,0.60125367222939,-0.114504522225042,0.659801917962102,0.56434117309208,0.703836795451569,0.611880255463803,0.602545421513349,0.624095668359047,0.121702788759264,0.205606010414592,0.16968033734398,0.187481322886493
