log2FoldChange padj pval genes gene_type
1 -0.885966077003643 1.31447468052487e-07 6.12723013343063e-12 TXN downregulated
2 -0.782558508637836 1.76528465668722e-07 1.64572288881482e-11 MED29 downregulated
3 -0.846268800684912 6.94822275422657e-07 9.71643511988054e-11 RNF181 downregulated
4 -0.917127333204035 8.11899060627578e-07 1.8922739491623e-10 GSS downregulated
5 -1.94153729848577 2.42465531525036e-06 8.88782342435516e-10 RBM3 downregulated
6 -0.689660449620279 3.12352445043259e-06 1.44303804342771e-09 TRAPPC1 downregulated
7 -0.695697185726742 4.19967410254488e-06 2.63193460742609e-09 DHRS7B downregulated
8 -0.854546350971169 4.65514601353229e-06 3.25489163301097e-09 EMC7 downregulated
9 -0.780588769481812 5.26869987807122e-06 4.12224306391135e-09 CDC123 downregulated
10 -0.990374248487344 7.03171852258304e-06 6.22769085578137e-09 SYT11 downregulated
11 -0.575205810053868 7.40073501699513e-06 6.89948726704435e-09 PHB2 downregulated
12 -0.66512054310013 7.99688014827376e-06 7.82801860409961e-09 DDOST downregulated
13 -2.70781533633555 1.19565386818329e-05 1.4825250612124e-08 C1orf94 downregulated
14 -1.17493307522217 1.19565386818329e-05 1.39553471352404e-08 RWDD2B downregulated
15 -0.443167013948478 1.48529772274008e-05 2.14628394187025e-08 TXN2 downregulated
16 -0.740264603081612 1.50660083516823e-05 2.34393011384314e-08 EIF4H downregulated
17 -0.930943014073005 1.56095908912587e-05 2.54666331605862e-08 FH downregulated
18 -1.02051431156687 1.78948534408858e-05 3.1697405060069e-08 PEX7 downregulated
19 -0.509159503292752 2.09587007999997e-05 3.90783588309323e-08 RABEPK downregulated
20 -0.749909601823679 2.09587007999997e-05 3.90540245447284e-08 ACLY downregulated
21 -0.879156778011802 2.32972354787955e-05 4.71428817921327e-08 PSMB4 downregulated
22 -1.00795046882347 2.32972354787955e-05 4.77825181124785e-08 ARMCX5 downregulated
23 -0.831195347107055 2.32972354787955e-05 4.70555233569771e-08 XRCC6 downregulated
24 -0.660774578506874 2.54279486457336e-05 5.5905230032927e-08 DDB1 downregulated
25 -0.664624388378588 2.95861466597683e-05 6.89557326708812e-08 ALKBH3 downregulated
26 -0.901221528690684 3.08643594033987e-05 7.48122262143631e-08 NIT2 downregulated
27 -0.632506136029727 3.44028318746676e-05 8.82000537503714e-08 PRKAG1 downregulated
28 -0.992891029508421 3.53125580594143e-05 9.91488557293068e-08 LRRC8B downregulated
29 -0.724696052696017 3.53125580594143e-05 9.72919975118402e-08 CCDC115 downregulated
30 -1.0385314379664 3.53125580594143e-05 9.75938448498878e-08 ACTB downregulated
31 -0.742138744065475 3.53125580594143e-05 9.77615685804424e-08 KIF1BP downregulated
32 -0.759215860716419 3.53125580594143e-05 1.03599195902476e-07 GTF2H3 downregulated
33 -0.754422896745564 3.53125580594143e-05 1.03700701894518e-07 ZNF10 downregulated
34 -0.576816895026644 3.65579035999899e-05 1.10873788013574e-07 NHP2 downregulated
35 -0.830154232497723 3.65579035999899e-05 1.11569322107363e-07 DTD1 downregulated
36 -0.702750087799929 4.1181861251167e-05 1.28615331367557e-07 KHDRBS1 downregulated
37 -1.61498477553746 4.16672664623954e-05 1.36181692823997e-07 RHCE downregulated
38 -0.738648735809993 4.16672664623954e-05 1.37900336495132e-07 EMC4 downregulated
39 -0.746613162038582 4.33548683005574e-05 1.52554574211645e-07 FUCA1 downregulated
40 -0.577820599754733 4.33548683005574e-05 1.62191121570798e-07 EIF3I downregulated
41 -0.646311986715776 4.33548683005574e-05 1.60633002749838e-07 MRPL24 downregulated
42 -1.01814093760732 4.33548683005574e-05 1.6323138137105e-07 HIGD1A downregulated
43 -1.95592562607893 4.33548683005574e-05 1.5984584072356e-07 LOC101926975 downregulated
44 -0.863951204456727 4.33548683005574e-05 1.59598900759423e-07 TM7SF2 downregulated
45 -0.697614167177534 4.33548683005574e-05 1.63274467519984e-07 TRMT6 downregulated
46 -1.09292770907749 4.34410665464604e-05 1.66045189801415e-07 PSMA5 downregulated
47 -0.716869743965979 4.51781852701212e-05 1.79002738449648e-07 POLR2A downregulated
48 -0.705181636712887 4.55360087468237e-05 1.82543082656358e-07 DPH2 downregulated
49 -0.859613701967673 4.60246638557065e-05 1.87542577760868e-07 ARMC10 downregulated
50 -0.975738235919065 4.60246638557065e-05 1.88792729189492e-07 ACTG1 downregulated
