Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa01200:Carbon metabolism	27	3.0998851894374284	1.5787327681900335E-11	GPI, FH, ECHS1, GLDC, OGDHL, ENO1, SDSL, HK1, PGK1, ME3, SDS, MDH1, IDH3G, MDH2, PGAM1, IDH2, CS, GLUD1, GLUD2, PKM, ACOX1, ALDOC, ACO2, ALDOA, DLD, PFKM, GAPDH	363	113	7452	4.905141519783515	4.957234622793294E-9	4.957220892116705E-9	4.6888363215244E-9
KEGG_PATHWAY	hsa01230:Biosynthesis of amino acids	17	1.951779563719862	1.9099824673264868E-7	SDS, IDH3G, PGAM1, IDH2, ENO1, SDSL, ASS1, CS, PKM, PAH, PGK1, ALDOC, ALDH18A1, ACO2, ALDOA, GAPDH, PFKM	363	71	7452	4.9153765568618315	5.9971656842794374E-5	2.9986724737025842E-5	2.836323963979833E-5
UP_KW_CELLULAR_COMPONENT	KW-0770~Synapse	48	5.510907003444316	3.993836336236257E-7	GPM6A, GRIA2, SNAP25, ARF1, NRN1, CHRM1, RAB3A, DGKB, CLSTN3, CHRM4, ICA1, CPLX1, DRP2, RPH3A, TRIM9, CACNG8, NETO1, SV2B, SV2A, DLGAP1, ATP6V1E1, LZTS1, SH2D5, GRIA3, ATP6V0A1, PPFIA2, SYT5, PRKCG, CHRNB2, GABRA1, GABBR1, PRRT2, SVOP, NDFIP1, SLC30A3, SLC6A17, SYP, COPS4, SLC8A3, GAP43, ARHGEF9, OLFM3, SYT12, DMXL2, PLAA, ATP6V0C, STX1A, VAMP2	683	494	15667	2.228842745449049	1.9968986285312518E-5	1.9969181681181284E-5	1.757287987943953E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0324~Glycolysis	11	1.2629161882893225	5.863900616901225E-7	GPI, PKM, PGAM1, PGK1, ALDOC, OGDHL, ENO1, ALDOA, GAPDH, PFKM, HK1	424	33	10090	7.932389937106919	7.446878673655899E-5	7.447153783464555E-5	7.271236764957519E-5
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	12	1.377726750861079	6.45166638312926E-7	GPI, LDHA, PKM, PGAM1, PGK1, ALDOC, OGDHL, ENO1, ALDOA, GAPDH, PFKM, HK1	704	40	16321	6.95497159090909	0.0019864286547286447	0.001988403579280438	0.0019845325794505607
GOTERM_CC_DIRECT	GO:0008021~synaptic vesicle	21	2.4110218140068884	8.72377146426017E-7	SNAP25, GABBR1, RAB3A, SVOP, PRRT2, SLC30A3, SLC6A17, BDNF, SYP, COPS4, RPH3A, TRIM9, STX1B, SV2B, SV2A, DMXL2, PPT1, VDAC1, RAB5A, STX1A, VAMP2	734	133	17217	3.7036426215402263	5.459592418450843E-4	5.461080936626867E-4	5.251710421484623E-4
REACTOME_PATHWAY	R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle	14	1.6073478760045925	1.3137219336595349E-6	FH, IDH3G, MDH2, ADHFE1, GLO1, IDH2, PDP1, CS, LDHB, LDHA, VDAC1, ME3, ACO2, DLD	495	55	10347	5.320771349862259	0.0016893327076756837	8.774580483590628E-4	8.638223366518512E-4
REACTOME_PATHWAY	R-HSA-112315~Transmission across Chemical Synapses	33	3.788748564867968	1.3635711707211543E-6	GRIA2, SNAP25, RAB3A, RASGRF1, PRKAG1, KIF17, CPLX1, NCALD, CACNG8, GNG3, TUBB3, TSPAN7, PRKACA, CACNG3, GRIA3, PPFIA2, PRKCG, CHRNB2, GABRA1, GABBR1, HTR3B, TUBB4B, PRKAB1, CACNB1, TUBB2B, ARHGEF9, ALDH5A1, TUBB2A, DLG3, CALM3, PLCB1, STX1A, VAMP2	495	267	10347	2.5835205992509365	0.001753378326269539	8.774580483590628E-4	8.638223366518512E-4
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	49	5.625717566016074	1.484231342501629E-6	DMGDH, DHRS11, GLDC, OGDHL, TXNDC12, MPO, ALKBH6, ME3, BCKDHA, ST6GAL2, MECR, KMO, YWHAZ, ALDH5A1, MTHFD1, BDH1, ACOX1, IVD, NDUFS1, CYP2E1, GAPDH, DLD, TPH1, ALOX12B, PTGS2, PRDX2, LDHB, TPO, LDHA, CYP4X1, RDH12, DHRS7B, PNPO, CRYM, NDUFV2, MDH1B, CBR3, MDH1, MDH2, ADHFE1, IDH2, CYP4F11, ACADSB, GLUD1, GLUD2, PAH, PCYOX1L, ALDH18A1, PAM	430	577	10568	2.087106525331506	1.3060392563390977E-4	1.32096589482645E-4	1.32096589482645E-4
UP_KW_CELLULAR_COMPONENT	KW-0968~Cytoplasmic vesicle	57	6.544202066590127	1.9551901943085548E-6	PCSK1, EXOC3L1, RAB3A, CPNE6, ICA1, ABCC11, RPH3A, TRIM9, ATP6V1E1, PRKACA, TCP11, GBP6, OVGP1, GABARAPL1, ATP6V1G2, SLC30A8, SVOP, SLC6A17, SLC30A3, CCDC115, VPS33B, SYP, VGF, SCN8A, RAB35, SCG3, ATP6V0C, DLD, STX1A, VAMP2, ASTN1, SV2B, SV2A, VPS11, ATP6V1D, ELANE, ATP6V0A1, SYT5, IL33, GABRA1, PRRT2, NMNAT2, SORL1, RAB11A, COPS4, SYT12, CALY, DMXL2, LCN2, TRIM36, VIPAS39, ATP13A2, COPG1, REEP6, SEC24D, PAM, RAB5A	683	669	15667	1.9544019066502964	9.775482696994242E-5	4.887975485771387E-5	4.30141842747882E-5
