Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	134	34.447300771208226	2.918513508493804E-9	ATF1, ZBTB25, TRRAP, POGK, ZMYND8, CASC3, ZNF81, PPP4R2, ZNF605, CDC26, PAPOLA, RCC1, EP300, ZNF568, MAF1, PKNOX1, ZNF202, RPP38, ARL6IP6, PNISR, DAXX, PPP4R3A, ZBTB34, OVOL3, JMJD6, SGO1, ZNF718, ZC3H11A, ZNF558, S100A4, GMNC, GEMIN7, DNA2, RAF1, ZNF431, FKBP5, ZCCHC8, RNASEH2C, ZNF790, CTBP2, ANAPC16, MAX, BRI3, FOXO4, ZBTB2, MGC16025, ZNF704, STK38, ZNF701, ZBED6, NHEJ1, BANP, CREBBP, SMAD4, ZBTB16, BTBD7, FOXN3, ALOX15B, NFKBIA, PAN2, STAG1, CABYR, ZNF37A, SPDYA, INTS8, INVS, CALCOCO1, PIWIL4, MCM8, HP1BP3, HSPB7, HSPB2, HIF3A, TFCP2L1, SMG5, TRIM8, FLCN, SCML2, SMPD4, ZNF768, OIT3, DFFB, CNTD1, RBM14, ZHX3, NCOA5, NCOA6, TSC22D3, DDX56, PROX2, CCDC117, ETV4, KLF15, SIRT1, ARID1B, CCNA2, RNF169, RBL1, TFDP2, CTDSP2, DNAJC9, DNASE1, JDP2, HDAC4, ZNF592, POLDIP3, UHRF1, CIPC, CXXC1, GPS2, PRKX, ZBTB44, ZBTB40, DNAJB6, NRIP2, MXI1, LINC-PINT, RBM38, CDK11A, USP21, NAA11, DONSON, FOXJ1, MND1, ZIC5, RAD52, LBX2, POLE2, ASXL2, CDK2AP2, SNRNP48, THRSP, TAF3, TJP3	271	5636	17543	1.5391054868675016	1.0506648218111536E-7	1.0506648630577695E-7	1.0506648630577695E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	67	17.223650385604113	4.5087355710839275E-6	ATF1, CALCOCO1, ZBTB25, TRRAP, ZMYND8, TFCP2L1, HIF3A, SCML2, ZNF81, ZNF605, ZNF768, EP300, ZNF568, MAF1, PKNOX1, ZNF202, RBM14, DAXX, ZHX3, NCOA5, NCOA6, ZBTB34, PROX2, ARID1B, ETV4, KLF15, SIRT1, OVOL3, JMJD6, ZNF718, RBL1, TFDP2, ZNF558, JDP2, ZNF431, HDAC4, KANK2, ZNF592, ZNF790, CTBP2, MAX, UHRF1, CIPC, CXXC1, GPS2, ZBTB44, FOXO4, ZBTB2, ZBTB40, NRIP2, ZNF704, MXI1, ZNF701, LINC-PINT, ZBED6, BANP, CREBBP, SMAD4, USP21, ZBTB16, FOXJ1, FOXN3, LBX2, ZNF37A, ASXL2, THRSP, TAF3	187	2374	11187	1.6883641409385994	3.60634614538502E-4	3.606988456867142E-4	3.606988456867142E-4
GOTERM_CC_DIRECT	GO:0005634~nucleus	124	31.876606683804624	8.454260140265453E-6	ATF1, TRRAP, POGK, ZMYND8, CASC3, ZC3H12C, ZNF81, PPP4R2, ZNF605, TEKT2, PAPOLA, RCC1, EP300, ZNF568, MAF1, PKNOX1, ZNF202, DAXX, OVOL3, MOB3A, JMJD6, ZNF718, ZNF558, S100A4, GMNC, DNA2, RAF1, ZNF431, FKBP5, ZCCHC8, RNASEH2C, ZNF790, CTBP2, MAX, BRI3, AGAP1, FOXO4, ZNF704, STK38, ZNF701, ZBED6, NHEJ1, BANP, CREBBP, SMAD4, ZBTB16, BTBD7, FOXN3, ALOX15B, NFKBIA, PAN2, STAG1, CABYR, ZNF37A, ZNF814, SPDYA, INTS8, INVS, CALCOCO1, PIWIL4, USP31, MCM8, MCMDC2, HP1BP3, HSPB7, HSPB2, TFCP2L1, SMG5, TRIM8, FLCN, SCML2, ZNF768, TOP3B, DFFB, CERS4, CNTD1, RBM14, ZHX3, NCOA6, TSC22D3, MSL2, PROX2, CCDC117, ETV4, KLF15, SIRT1, CCNA2, RNF169, TFDP2, AKT1S1, DNAJC9, DNASE1, JDP2, HDAC4, ZNF592, POLDIP3, UHRF1, CIPC, CXXC1, GPS2, PRKX, ZBTB44, TOB2, ZBTB40, CLN3, DNAJB6, NRIP2, MXI1, RBM38, CDK11A, CDKN2C, DONSON, PDE4DIP, FOXJ1, MND1, ZIC5, RAD52, LBX2, ASXL2, CDK2AP2, CDK2AP1, NAA16, TAF3, TJP3	304	5930	20472	1.4081654388923404	0.002710149871805956	0.0027138175050252103	0.002705363244884945
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	67	17.223650385604113	1.2428322881375347E-5	ATF1, CALCOCO1, ZBTB25, TRRAP, ZMYND8, TFCP2L1, HIF3A, SCML2, ZNF81, ZNF605, ZNF768, EP300, ZNF568, MAF1, PKNOX1, ZNF202, RBM14, DAXX, ZHX3, NCOA5, NCOA6, ZBTB34, PROX2, ARID1B, ETV4, KLF15, SIRT1, OVOL3, JMJD6, ZNF718, RBL1, TFDP2, ZNF558, JDP2, ZNF431, HDAC4, KANK2, ZNF592, ZNF790, CTBP2, MAX, UHRF1, CIPC, CXXC1, GPS2, ZBTB44, FOXO4, ZBTB2, ZBTB40, NRIP2, ZNF704, MXI1, ZNF701, LINC-PINT, ZBED6, BANP, CREBBP, SMAD4, USP21, ZBTB16, FOXJ1, FOXN3, LBX2, ZNF37A, ASXL2, THRSP, TAF3	187	2444	11187	1.6400067391932223	9.937778844556489E-4	4.971329152550139E-4	4.971329152550139E-4
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	88	22.62210796915167	3.924924579392829E-5	ATF1, PIWIL4, ZBTB25, MCM8, TRRAP, POGK, ZMYND8, HSPB7, CASC3, HIF3A, PPP4R2, CDC26, PAPOLA, RCC1, EP300, MAF1, RPP38, DFFB, PNISR, RBM14, DAXX, ZHX3, NCOA5, NCOA6, MSL2, ZBTB34, PPP4R3A, ARID1B, ETV4, KLF15, SIRT1, ANO2, IL17RB, JMJD6, SGO1, CCNA2, RNF169, RBL1, TFDP2, ZC3H11A, CTDSP2, AKT1S1, DNAJC9, GEMIN7, DNA2, BCAT2, FKBP5, HDAC4, ZCCHC8, RBM48, ANAPC16, POLDIP3, MAX, UHRF1, CIPC, CXXC1, GPS2, PRKX, FOXO4, ZBTB2, DNAJB6, MXI1, CXCR2, ZBED6, TSPAN1, NHEJ1, BANP, GDF11, CREBBP, SMAD4, USP21, CEP152, NAA11, RAD52, NFKBIA, STAG1, CABYR, POLE2, ASXL2, SPDYA, TRIP10, CDK2AP1, SNRNP48, CYB5RL, THRSP, TAF3, INTS8, TJP3	304	3939	20472	1.5044694752876098	0.01252021683140414	0.00629950394992549	0.006279879327028526
KEGG_PATHWAY	hsa04110:Cell cycle	10	2.570694087403599	1.274378562608084E-4	CCNA2, STAG1, SMAD4, CREBBP, CDKN2C, RBL1, ANAPC16, TFDP2, CDC26, EP300	126	126	8156	5.137314184933232	0.028391944414257075	0.0288009555149427	0.0288009555149427
UP_KW_MOLECULAR_FUNCTION	KW-0678~Repressor	24	6.169665809768637	1.6481787004004808E-4	HDAC4, RBM14, DAXX, ZHX3, CTBP2, NCOA5, UHRF1, MAX, CIPC, ZBTB16, SAMD4A, GPS2, FOXN3, HIF3A, SCML2, RBL1, ASXL2, MXI1, MAF1, ZBED6, ZNF202, JDP2, ZNF431, BANP	187	628	11655	2.3818931162505534	0.010167507978648405	0.010383525812523029	0.010383525812523029
UP_KW_DOMAIN	KW-0863~Zinc-finger	45	11.568123393316196	5.782453757776534E-4	ZCCHC8, CALCOCO1, ZNF592, ZNF790, ZBTB25, UHRF1, ZMYND8, CXXC1, AGAP1, ZBTB44, ZBTB40, ZBTB2, TRIM8, ZC3H12C, ZNF81, TRIM4, ZNF704, ZNF605, ZNF768, ZNF701, EP300, ZNF568, ZBED6, ZNF202, CREBBP, ZHX3, ZBTB16, MSL2, ZBTB34, ZIC5, KLF15, OVOL3, RNF169, ZNF718, ZNF37A, RASA4, ZNF814, ZFYVE19, ZC3H11A, ASXL2, ZNF558, SNRNP48, RAF1, TAF3, ZNF431	220	1826	14922	1.671537389226327	0.0109296721808253	0.010986662139775415	0.010986662139775415
UP_KW_LIGAND	KW-0862~Zinc	57	14.652956298200515	6.284771040467412E-4	CALCOCO1, ZBTB25, ZMYND8, IHH, TRIM8, ZC3H12C, ADAMTS2, ZNF81, TRIM4, RASSF3, ZNF605, ZNF768, EP300, ZNF568, ZNF202, ZHX3, MSL2, ZBTB34, KLF15, SIRT1, OVOL3, MOB3A, RNF169, ZNF718, RASA4, ZC3H11A, ZFYVE19, ZNF558, MMP19, RAF1, CARS2, ZNF431, HDAC4, ZCCHC8, ZNF592, ZNF790, UHRF1, CXXC1, AGAP1, ZBTB44, ZBTB2, ZBTB40, MGC16025, ZNF704, ZNF701, TRPM7, ZBED6, CREBBP, SMAD4, USP21, ZBTB16, ZIC5, ZNF37A, ZNF814, ASXL2, SNRNP48, TAF3	108	2503	6822	1.4384738314023173	0.01435548082651239	0.014454973393075048	0.014454973393075048
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	43	11.053984575835475	8.769662463800808E-4	ATF1, ZNF790, CTBP2, ZBTB25, TRRAP, MAX, GPS2, FOXO4, TFCP2L1, HIF3A, ZBTB40, ZBTB2, ZNF81, ZNF704, ZNF605, MXI1, ZNF768, ZNF701, ZNF568, PKNOX1, ZBED6, ZNF202, SMAD4, ZHX3, ZBTB16, TSC22D3, FOXJ1, ZBTB34, PROX2, FOXN3, ZIC5, ETV4, KLF15, ARID1B, OVOL3, LBX2, ZNF718, RBL1, ZNF37A, TFDP2, ZNF814, ZNF558, JDP2	286	1721	19256	1.682238737439202	0.7341438801675372	0.5479556908133414	0.5479556908133414
