Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	267	33.54271356783919	1.8067336239264608E-13	GABPB2, TRRAP, ZMYND8, KEAP1, EHMT1, IKZF2, RNF114, ZNF607, PPP4R2, ZXDC, RCC1, PWWP2A, ZNF600, FBXO5, PKNOX1, ARL6IP6, SAMD11, REV1, HUS1, EBF4, OVOL3, JMJD6, DDX39A, TEP1, ZC3H11A, DNA2, ATF4, RTEL1, ZNF394, ANAPC16, CTBP2, ZBTB1, ZBTB2, MGC16025, ZNF704, ZNF701, ZBED4, NHEJ1, BANP, ZNF143, CDT1, CREBBP, XRCC3, MICAL3, IRF2BP2, ZNF32, NFATC1, ALOX15B, POLA1, STAG1, CABYR, MEX3A, ZNF30, SPDYA, ID3, HBP1, ATM, INTS6, CDK13, INTS8, VSX1, CC2D1B, INVS, HIP1, TFCP2L1, SGF29, HIF3A, BMI1, LIMD1, SMG5, TRIM8, IKBKB, MED11, ZCWPW1, ING5, SMPD4, CSRP1, PCF11, RNF151, ZNF488, OFD1, DFFB, FOXD2, CNTD1, ZHX3, NCOA5, NCOA6, TSC22D3, TCF12, SLC39A11, TFEB, IL16, CCDC117, CBFA2T2, SIRT1, RNF169, HNRNPH1, SCAND2P, HNRNPH3, ZNF234, JDP2, ZNF592, CIPC, GPS2, TUBD1, PRKX, ZNF69, RELA, ZNF137P, RXRA, NSD1, LINC-PINT, SAMD1, ZNF345, EGLN1, CARD8, PER1, LBX2, HDGF, ZNF577, TJP3, OTUD4, ANKRD37, ZNF692, DCLRE1C, ITPRIP, NUP188, ICE2, POGK, LOXL3, CASC3, PPP1CC, SALL1, ZNF81, PAPOLA, EP300, MAF1, ZNF202, ZNF565, RALBP1, PPP4R3A, ZBTB34, SGO1, CTDNEP1, MAPKAPK2, TIMELESS, ZNF558, S100A4, NUPR1, RAF1, AJUBA, FKBP5, ZNF431, ZCCHC8, RNASEH2C, UBIAD1, ZNF790, MAX, FOXO4, PDS5A, PHF21A, NACC2, STK38, ZNF785, SMAD4, ZFHX2, ZBTB16, TMEM120A, ANKRD23, ZBTB12, BTBD7, FOXN3, FANCB, FANCE, FBXO32, NFKB1, UCKL1, CLK1, NFKBIA, PAN2, RGCC, ZNF417, LHX4, ZNF652, PHF19, MXD4, ARHGAP11A, SWSAP1, DIDO1, CALCOCO1, MCM7, MCM8, HP1BP3, HSPB7, HSPB2, DUSP18, PIDD1, FLCN, ZNF768, DGCR8, ZNF524, ZNF765, METTL16, BOK, RBM6, ZNF761, SUN2, RBM17, RBM14, DDX56, AXIN1, TRNAU1AP, SMC1A, ETV4, KLF15, CCNA2, RBL1, LATS2, TFDP2, EEF1D, CTDSP2, LCOR, DNAJC9, DNASE1, ZNF750, HDAC4, TRIM52, GTF3C5, POLDIP3, UHRF1, ZBTB44, PPM1D, SAMHD1, ZBTB40, NXF1, RMND5A, DNAJB6, NRIP2, SAP30L, ATOH8, MXI1, LRIG3, MUTYH, RBM38, SPEN, CDK11A, IRX5, POLN, ASCC1, USP21, MID1IP1, MGA, DONSON, FOXJ1, DEK, TBX6, RAD52, WEE1, CDK2AP2, TAF8, ZNF613, POLR3H, SNRNP48, THRSP, QRICH2, TAF3, ZNF850	545	5318	15667	1.4432855698665774	7.94786458868657E-12	7.949627945276428E-12	7.949627945276428E-12
GOTERM_CC_DIRECT	GO:0005634~nucleus	272	34.17085427135678	7.855948257289446E-12	GABPB2, TRRAP, ZMYND8, EHMT1, IKZF2, NYNRIN, ZC3H12C, RNF114, ZNF607, PPP4R2, ZXDC, RCC1, PWWP2A, ZNF600, FBXO5, PKNOX1, SAMD11, REV1, HUS1, EBF4, OVOL3, JMJD6, AZGP1, DDX39A, HECA, DNA2, ATF4, RTEL1, ZNF394, CTBP2, ZBTB1, AGAP1, ZNF704, ZNF701, ZBED4, NHEJ1, BANP, CDK18, CDT1, SRPK3, CREBBP, JUP, XRCC3, MICAL3, IRF2BP2, ZNF32, NFATC1, ALOX15B, POLA1, STAG1, CABYR, MEX3A, ZNF30, SPDYA, ID3, HBP1, ATM, INTS6, CDK13, INTS8, VSX1, CC2D1B, INVS, HIP1, TFCP2L1, BMI1, LIMD1, SMG5, POU5F1P4, TRIM8, IKBKB, MED11, ZCWPW1, ING5, CSRP1, RNF151, ANXA9, ZNF488, TOP3B, OFD1, UPF2, DFFB, DFFA, FOXD2, CNTD1, ZHX3, NCOA6, TSC22D3, TCF12, SLC39A11, TFEB, IL16, CCDC117, CBFA2T2, SIRT1, ITPKB, RNF169, HNRNPH1, SCAND2P, HNRNPH3, UMPS, DNASE1L2, ZNF234, JDP2, ZNF592, CIPC, GPS2, TUBD1, PRKX, ZNF69, RELA, ZNF137P, RXRA, NSD1, SAMD1, ZNF345, EGLN1, TRMT10B, CDKN2C, CARD8, PER1, LBX2, HDGF, ZNF577, TJP3, OTUD4, ANKRD37, DGKD, DCLRE1C, UBXN2A, POGK, LOXL3, CASC3, SCGN, PPP1CC, SALL1, ZNF81, TEKT2, PAPOLA, CAPN2, EP300, MAF1, ZNF202, ZNF565, RALBP1, RALGAPA2, MOB3A, MOB3C, MAPKAPK2, TIMELESS, ZNF558, S100A4, TSSK3, NUPR1, RAF1, AJUBA, FKBP5, ZNF431, ZCCHC8, RNASEH2C, UBIAD1, ZNF790, MAX, FOXO4, PDS5A, PKMYT1, ACACB, IRAK2, NACC2, STK38, ZNF785, SMAD4, PNPT1, ZFHX2, ZBTB16, BTBD7, FOXN3, FANCE, FBXO32, NFKB1, UCKL1, CLK1, NFKBIA, PAN2, RGCC, ZNF417, LHX4, BRWD3, ZNF652, PHF19, ARHGAP11A, SWSAP1, DIDO1, CALCOCO1, MCM7, USP31, MCM8, MCMDC2, HP1BP3, HSPB7, HSPB2, DUSP18, PIDD1, FLCN, ZNF768, DGCR8, ZNF524, ZNF765, METTL16, BOK, RBM6, ZNF761, ILKAP, CERS4, RBM14, AXIN1, MSL2, TRNAU1AP, SMC1A, ETV4, KLF15, CCNA2, LATS2, TFDP2, EEF1D, AKT1S1, LCOR, DNAJC9, DNASE1, ZNF750, HDAC4, TRIM52, POLDIP3, UHRF1, CCDC69, ZBTB44, TOB2, PPM1D, SAMHD1, ZBTB40, CLN3, NXF1, RMND5A, DNAJB6, NRIP2, SAP30L, ATOH8, MXI1, LRIG3, MUTYH, RBM38, SPEN, CDK11A, IRX5, POLN, ASCC1, MID1IP1, DONSON, FOXJ1, PDE4DIP, EXOG, DEK, TBX6, RAD52, WEE1, CDK2AP2, TAF8, ZNF613, CDK2AP1, NAA16, TAF3, ZNF850	597	5572	17217	1.4077999473317773	3.64515528872289E-9	3.645159991382303E-9	3.6373040431250135E-9
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	134	16.834170854271356	4.2367550417484416E-8	ZNF692, GABPB2, ICE2, TRRAP, ZMYND8, IKZF2, SALL1, ZNF81, ZNF607, ZXDC, PWWP2A, EP300, ZNF600, MAF1, PKNOX1, ZNF202, ZNF565, ZBTB34, EBF4, OVOL3, JMJD6, ERN2, TIMELESS, ZNF558, NUPR1, AJUBA, ZNF431, ATF4, ZNF394, ZNF790, CTBP2, MAX, ZBTB1, FOXO4, PHF21A, ZBTB2, ZNF704, NACC2, ZNF701, ZNF785, ZBED4, BANP, ZNF143, CREBBP, SMAD4, ZFHX2, ZBTB16, IRF2BP2, ZNF32, ZBTB12, NFATC1, FOXN3, NFKB1, ZNF30, ZNF417, ID3, HBP1, LHX4, ZNF652, VSX1, PHF19, CC2D1B, MXD4, CALCOCO1, HIP1, HIF3A, TFCP2L1, SGF29, LIMD1, BMI1, POU5F1P4, ING5, MED11, ZNF768, ZNF524, ZNF765, ZNF488, ZNF761, FOXD2, RBM14, ZHX3, NCOA5, NCOA6, TCF12, TFEB, IL16, CBFA2T2, ETV4, KLF15, SIRT1, RBL1, TFDP2, EEF1D, LCOR, ZNF234, JDP2, ZNF750, HDAC4, KANK2, ZNF592, GTF3C5, UHRF1, CIPC, GPS2, ZBTB44, ZNF69, RELA, ZBTB40, ZNF137P, RXRA, NRIP2, NSD1, SAP30L, ATOH8, MXI1, LINC-PINT, ZNF345, SPEN, IRX5, ASCC1, USP21, MGA, FOXJ1, TBX6, PER1, LBX2, TAF8, ZNF613, POLR3H, THRSP, HDGF, ZNF577, TAF3, ZNF850	384	2301	10090	1.5301997320005793	4.152011414237933E-6	2.2193285159416146E-6	2.2193285159416146E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	131	16.457286432160803	4.529241869268601E-8	ZNF692, GABPB2, ICE2, TRRAP, ZMYND8, IKZF2, SALL1, ZNF81, ZNF607, ZXDC, PWWP2A, EP300, ZNF600, MAF1, PKNOX1, ZNF202, ZNF565, ZBTB34, EBF4, OVOL3, JMJD6, ERN2, TIMELESS, ZNF558, NUPR1, AJUBA, ZNF431, ATF4, ZNF394, ZNF790, CTBP2, MAX, ZBTB1, FOXO4, PHF21A, ZBTB2, ZNF704, NACC2, ZNF701, ZNF785, ZBED4, BANP, ZNF143, CREBBP, SMAD4, ZFHX2, ZBTB16, IRF2BP2, ZNF32, ZBTB12, NFATC1, FOXN3, NFKB1, ZNF30, ZNF417, ID3, HBP1, LHX4, ZNF652, VSX1, PHF19, CC2D1B, MXD4, CALCOCO1, HIP1, HIF3A, TFCP2L1, SGF29, LIMD1, BMI1, POU5F1P4, ING5, MED11, ZNF768, ZNF524, ZNF765, ZNF488, ZNF761, FOXD2, RBM14, ZHX3, NCOA5, NCOA6, TCF12, TFEB, IL16, CBFA2T2, ETV4, KLF15, SIRT1, RBL1, TFDP2, EEF1D, LCOR, ZNF234, JDP2, ZNF750, HDAC4, KANK2, ZNF592, UHRF1, CIPC, GPS2, ZBTB44, ZNF69, RELA, ZBTB40, ZNF137P, RXRA, NRIP2, NSD1, SAP30L, ATOH8, MXI1, LINC-PINT, ZNF345, SPEN, ASCC1, USP21, MGA, FOXJ1, TBX6, PER1, LBX2, TAF8, ZNF613, THRSP, HDGF, ZNF577, TAF3, ZNF850	384	2235	10090	1.5401169835943325	4.438647282722918E-6	2.2193285159416146E-6	2.2193285159416146E-6
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	71	8.919597989949748	1.1378976631465302E-6	CALCOCO1, ZNF692, TFCP2L1, HIF3A, BMI1, IKZF2, SALL1, ZNF81, ZNF607, ZNF524, ZNF765, ZNF600, PKNOX1, ZNF202, ZNF565, ZNF761, FOXD2, TCF12, TFEB, ZBTB34, EBF4, ETV4, KLF15, SIRT1, OVOL3, SCAND2P, ZNF234, JDP2, ZNF750, ZNF431, ATF4, HDAC4, ZNF394, ZNF790, ZBTB1, FOXO4, RELA, ZBTB2, ZBTB40, RXRA, ZNF704, NACC2, NSD1, ATOH8, MXI1, ZNF701, ZNF345, ZNF143, SMAD4, ZFHX2, IRX5, ZBTB16, MGA, ZNF32, FOXJ1, NFATC1, ZBTB12, TBX6, NFKB1, PER1, ZNF30, ZNF417, ZNF613, HBP1, HDGF, ZNF853, ZNF577, ZNF652, ZNF850, CC2D1B, MXD4	587	1110	16721	1.8220467486225578	8.473750161676064E-4	8.47733759044165E-4	8.465958613810185E-4
UP_KW_DOMAIN	KW-0863~Zinc-finger	95	11.934673366834172	1.5908517634355006E-6	DIDO1, CALCOCO1, ZNF692, DGKD, ZFAND4, ZMYND8, JADE3, BMI1, IKZF2, TRIM8, ZCWPW1, ING5, FYCO1, ZC3H12C, SALL1, ZNF81, RNF114, TRIM4, ZNF607, ZXDC, ZNF768, EP300, RNF151, ZNF524, ZNF765, ZNF600, FBXO5, ZNF202, ZNF488, ZNF565, ZNF761, ZHX3, MSL2, ZBTB34, ARAP1, EBF4, CBFA2T2, KLF15, OVOL3, RNF144A, RNF169, ZC3H11A, ZFYVE19, ZNF558, RAF1, ZNF234, ZNF750, ZNF431, ZCCHC8, ZNF394, ZNF592, ZNF790, TRIM52, ROCK1, UHRF1, ZBTB1, AGAP1, ZBTB44, ZNF69, PHF21A, ZBTB2, ZBTB40, ZNF137P, RMND5A, RXRA, ZNF704, NSD1, SAP30L, ZNF701, LRIG3, RNF130, ZNF785, ZNF345, ZBED4, ANKZF1, EGLN1, ZNF143, CREBBP, ZFHX2, ZBTB16, IRF2BP2, ZNF32, ZBTB12, POLA1, MEX3A, ZNF30, ZNF417, ZNF613, SNRNP48, ZNF853, ZNF577, TAF3, ZNF652, ZNF850, PHF19	457	1674	13022	1.6170730623331737	4.1361323346755796E-5	4.136214584932302E-5	4.136214584932302E-5
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	128	16.08040201005025	2.54706156948384E-6	ZNF692, DGKD, ZMYND8, JADE3, IKZF2, PPP1CC, ZC3H12C, RNF114, SALL1, ZNF81, ZNF607, ZXDC, PAPOLA, EP300, ZNF600, FBXO5, ZNF202, ZNF565, PSPH, REV1, ZBTB34, EBF4, OVOL3, MOB3A, MOB3C, ZC3H11A, ZFYVE19, ZNF558, DNA2, RAF1, CARS2, AJUBA, ZNF431, GNAZ, RTEL1, ZNF394, ZNF790, ZBTB1, GMPR, AGAP1, PKMYT1, ACACB, ADIPOR2, PHF21A, ZBTB2, MGC16025, MAN2A1, ZNF704, ZNF701, TRPM7, ZNF785, CLCA4, ANKZF1, ZBED4, ZNF143, CREBBP, SMAD4, ZBTB16, MICAL3, IRF2BP2, ZNF32, ZBTB12, PAN2, POLA1, MEX3A, AGO3, ITGA10, ITGA11, ZNF30, ZNF417, LHX4, ZNF652, PHF19, POMT2, DIDO1, CALCOCO1, CPQ, LIMD1, BMI1, TRIM8, ING5, FYCO1, SMPD4, CSRP1, ACP7, ZNF768, DGCR8, ZNF524, RNF151, ZNF765, ZNF488, ZNF761, ILKAP, ZHX3, MSL2, ARAP1, CBFA2T2, KLF15, SIRT1, RNF144A, RNF169, LATS2, CTDSP2, ZNF234, ZNF750, ZNF592, ROCK1, UHRF1, CRIP3, ZBTB44, PPM1D, ZNF69, ZBTB40, ZNF137P, RMND5A, NSD1, RNF130, ZNF345, MUTYH, USP21, EXOG, ADAT3, ZNF613, SNRNP48, ZNF853, ZNF577, TAF3, ZNF850	587	2457	16721	1.4839831126032148	0.0018957640508580065	9.487804346327304E-4	9.475069038479885E-4
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	88	11.055276381909549	1.1326122106430598E-5	ZNF692, TRRAP, JADE3, TFCP2L1, HIF3A, SGF29, IKZF2, MED11, SALL1, ZNF81, ZNF607, ZXDC, ZNF768, ZNF524, ZNF765, ZNF600, PKNOX1, ZNF202, ZNF565, ZNF761, FOXD2, ZHX3, TSC22D3, TCF12, TFEB, ZBTB34, EBF4, ETV4, KLF15, OVOL3, RBL1, TFDP2, SCAND2P, ZNF558, LCOR, ZNF234, JDP2, ATF4, ZNF394, ZNF790, CTBP2, MAX, ZBTB1, GPS2, FOXO4, ZNF69, RELA, ZBTB2, ZBTB40, RXRA, ZNF704, NACC2, ATOH8, MXI1, ZNF701, ZNF785, ZNF345, SPEN, ZNF143, SMAD4, ZFHX2, IRX5, ZBTB16, MGA, IRF2BP2, ZNF32, FOXJ1, NFATC1, ZBTB12, FOXN3, DEK, TBX6, NFKB1, LBX2, ZNF30, ZNF417, ZNF613, HBP1, HDGF, LHX4, ZNF853, ZNF577, ZNF652, VSX1, ZNF850, BRWD3, CC2D1B, MXD4	574	1571	16321	1.5927270630349295	0.028567711620100633	0.0289835464703559	0.0289835464703559
UP_KW_LIGAND	KW-0862~Zinc	124	15.577889447236181	1.69586781616463E-5	ZNF692, DGKD, ZFAND4, ZMYND8, EHMT1, JADE3, IKZF2, ZC3H12C, RNF114, SALL1, ZNF81, ZNF607, RASSF3, ZXDC, EP300, ZNF600, FBXO5, ZNF202, ZNF565, ZBTB34, EBF4, OVOL3, MOB3A, MOB3C, ZC3H11A, ZFYVE19, ZNF558, RAF1, CARS2, AJUBA, ZNF431, ZCCHC8, ZNF394, ZNF790, ZBTB1, AGAP1, ADIPOR2, PHF21A, ZBTB2, MGC16025, MAN2A1, ZNF704, ZNF701, TRPM7, ZNF785, CLCA4, ANKZF1, ZBED4, ZNF143, CREBBP, SMAD4, ZFHX2, ZBTB16, MICAL3, IRF2BP2, ZNF32, ZBTB12, POLA1, MEX3A, ZNF30, ZNF417, LHX4, ZNF652, PHF19, DIDO1, CPM, CALCOCO1, CPQ, LIMD1, BMI1, TRIM8, ZCWPW1, ING5, FYCO1, ADAMTS2, TRIM4, CSRP1, CA2, ACP7, ZNF768, ZNF524, RNF151, ZNF765, ZNF488, ZNF761, ZHX3, SLC39A11, MSL2, ARAP1, CBFA2T2, KLF15, SIRT1, RNF144A, RNF169, ITGB1BP2, ZNF234, ZNF750, HDAC4, TRIM52, ZNF592, ROCK1, UHRF1, CRIP3, ZBTB44, SAMHD1, ZNF69, ZBTB40, ZNF137P, RMND5A, RXRA, NSD1, SAP30L, LRIG3, RNF130, ZNF345, EGLN1, USP21, ADAT3, ZNF613, SNRNP48, ZNF853, ZNF577, TAF3, ZNF850	254	2299	6395	1.3579680312905646	5.255853124360721E-4	5.257190230110354E-4	5.257190230110354E-4
BIOCARTA	h_nthiPathway:NFkB activation by Nontypeable Hemophilus influenzae	8	1.0050251256281406	2.1414914921304644E-5	MAP2K3, NFKBIA, IKBKB, SMAD4, CREBBP, EP300, RELA, NFKB1	64	24	1600	8.333333333333334	0.003356531853059286	0.003362141642644829	0.003362141642644829
