Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	58	14.720812182741117	5.428718067870044E-10	SLC25A3, FEN1, TFRC, MPV17L2, PHB2, TXN2, CHCHD2, MRPL2, HINT2, ABHD11, FAM162A, PRKACA, MRPS28, COX8A, MRPS27, SDS, TUFM, AFG3L2, SARS2, PKM, MTHFD1, IVD, CRY2, NDUFS3, CMPK2, UQCRC2, LETMD1, SLC25A5, DLD, BECN1, FH, TOMM40, ECHS1, NDUFB5, TIMM10, HIGD1A, MRPL55, DGUOK, CYB5R1, SAMM50, NDUFV1, GCKR, MDH2, BDNF, IDH2, NDUFA1, MRPL28, ACADSB, TTC19, GLUD1, FIBP, GLUD2, APEX1, GLOD4, OGDH, ACO2, CIAPIN1, HSPA1A	339	1437	20472	2.4374280242146558	2.0683415680178285E-7	2.0683415838584866E-7	2.0466267115870066E-7
UP_KW_DOMAIN	KW-0809~Transit peptide	30	7.614213197969544	1.6382613522803592E-8	SLC25A3, FH, ECHS1, NDUFB5, TXN2, MRPL55, DGUOK, MRPL2, HINT2, NDUFV1, COX8A, MRPS28, MRPS27, MDH2, IDH2, MRPL28, ACADSB, TTC19, TUFM, GLUD1, AFG3L2, GLUD2, SARS2, IVD, OGDH, NDUFS3, CMPK2, UQCRC2, ACO2, DLD	233	566	14922	3.3945009781768	3.7680004227880204E-7	3.768001110244826E-7	3.768001110244826E-7
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	53	13.451776649746192	2.6569198791448976E-8	NRP1, SLC25A3, FEN1, AQP8, MPV17L2, PHB2, TXN2, CHCHD2, MRPL2, HINT2, FAM162A, PRKACA, MRPS28, COX8A, MRPS27, KMO, TUFM, AFG3L2, SARS2, IVD, NDUFS3, CMPK2, CYP2E1, UQCRC2, LETMD1, SLC25A5, DLD, BECN1, FH, TOMM40, ECHS1, NDUFB5, TIMM10, HIGD1A, HSD17B8, MRPL55, DGUOK, SAMM50, NDUFV1, GCKR, MDH2, IDH2, NDUFA1, MRPL28, ACADSB, TTC19, GLUD1, GLUD2, APEX1, GLOD4, OGDH, ACO2, CIAPIN1	313	1300	17543	2.2850307200786433	1.142474912674274E-6	1.142475548032306E-6	1.142475548032306E-6
UP_SEQ_FEATURE	TRANSIT:Mitochondrion	30	7.614213197969544	5.961486156587687E-8	SLC25A3, FH, ECHS1, NDUFB5, TXN2, MRPL55, DGUOK, MRPL2, HINT2, NDUFV1, COX8A, MRPS28, MRPS27, MDH2, IDH2, MRPL28, ACADSB, TTC19, TUFM, GLUD1, AFG3L2, GLUD2, SARS2, IVD, OGDH, NDUFS3, CMPK2, UQCRC2, ACO2, DLD	344	551	20495	3.2438378424007093	8.971634463450506E-5	8.972036665664469E-5	8.972036665664469E-5
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	31	7.868020304568528	5.415340281828458E-7	DHRS11, GMPR2, ALOX12B, PTGS2, MPO, ALKBH6, HSD17B8, PRDX2, CYB5R1, RDH12, DHRS7B, PNPO, NDUFV1, MDH1B, MDH1, MDH2, IDH2, DHDH, KMO, ACADSB, GLUD1, CYP2C8, GLUD2, MTHFD1, ACOX1, IVD, PCYOX1L, OGDH, NDUFS3, CYP2E1, DLD	213	607	11655	2.794510058704782	4.278028470716677E-5	4.278118822644482E-5	4.278118822644482E-5
KEGG_PATHWAY	hsa01200:Carbon metabolism	14	3.5532994923857872	1.083629973636026E-6	FH, ECHS1, SDS, MDH1, MDH2, IDH2, GLUD1, GLUD2, PKM, ACOX1, OGDH, ALDOC, ACO2, DLD	178	115	8156	5.578114313629701	3.02287228460818E-4	3.023327626444512E-4	3.012491326708152E-4
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	67	17.00507614213198	1.4502115098080574E-6	PYGB, SLC25A3, ARF1, TFRC, MPO, ABCC11, ACTG1, ACTR1B, CAPNS1, CAPZB, TUBB3, SCN11A, ARHGDIA, CHMP1B, CFL1, CD38, CHP1, ACP2, ATP6V1E1, PRKACA, TECTA, GBP6, TPM3, AHSG, SERPINF1, C2ORF16, KRT5, TUFM, PSMA5, DDB1, PKM, MTHFD1, CHMP4B, PRTN3, ALDOC, VPS25, CES2, ARF5, NAPA, FH, RAB5C, DCTN2, SEMA3G, TXN, ABCB11, DNAJB1, PRDX2, CYB5R1, SAMM50, PSMB2, S100A16, GPC1, SFN, ELANE, MDH1, MDH2, GSS, IDH2, HSPA6, ARPC4, ASS1, GLOD4, SRPRA, SAA2, NIT2, LGMN, HSPA1A	339	2218	20472	1.8242058140555553	5.52378368729789E-4	2.7626529261843495E-4	2.733648695988188E-4
UP_KW_PTM	KW-0007~Acetylation	96	24.36548223350254	3.6741865724596313E-6	PYGB, SLC25A3, FEN1, ARF1, LDB1, HMGB3, BZW2, PRPF19, ZCCHC17, PHB2, HDDC3, ACTG1, TXN2, ACTR1B, HINT2, CAPNS1, CAPZB, ARHGDIA, CFL1, ATP6V1E1, SEPHS2, MRPS28, DUSP4, EIF5A, USP5, HMGCS1, TPM3, VPS33B, AP1B1, EDF1, WBP11, MED29, TUFM, PSMA5, DDB1, PRPF4, EBNA1BP2, SARS2, PKM, MTHFD1, ACOX1, IVD, MCM4, CHMP4B, ALDOC, MCM6, UQCRC2, SLC25A5, DLD, NAPA, BECN1, FH, ECHS1, DCTN2, USP11, GMPR2, COPS7A, TXN, HIGD1A, PTGS2, PPP1R2, DGUOK, PRDX2, PAK1, PSMB2, DPH2, NDUFV1, BEND5, PLK4, MDH1, MDH2, STAT1, GSS, IDH2, MX1, ARPC4, ACADSB, ASS1, PEX14, TARBP1, GLUD1, FIBP, BFSP1, MYBBP1A, CENPH, EIF3K, UBLCP1, GSTA4, APEX1, OGDH, MAGED2, ESYT1, ACO2, SFTPA1, NIT2, HSPA1A	256	3462	14097	1.526971403812825	9.552446362692812E-5	9.920303745641005E-5	8.818047773903116E-5
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	7	1.7766497461928936	1.5794369882371813E-5	FH, MDH1, MDH2, IDH2, OGDH, ACO2, MDH1B	323	33	19256	12.64583919692279	0.029318452433923392	0.029756592858388498	0.029677621008976637
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	22	5.583756345177665	3.2948839329702525E-5	COX8A, MRPS28, SLC25A3, MRPS27, TOMM40, NDUFB5, NDUFA1, MPV17L2, MRPL28, TIMM10, HIGD1A, PHB2, TTC19, MRPL55, AFG3L2, MRPL2, NDUFS3, CYP2E1, UQCRC2, SLC25A5, LETMD1, NDUFV1	339	464	20472	2.8632895941409826	0.012475245428858472	0.004184502594872221	0.004140570809099284
UP_SEQ_FEATURE	BINDING:Substrate	25	6.345177664974619	3.4383506481436326E-5	FH, DHRS11, PTGS2, HSD17B8, NEU3, DGUOK, RDH12, NMRK2, DHRS7B, ARSG, USP5, MDH1, MDH2, GSS, GPCPD1, ACADSB, EXT1, GLUD1, CYP2C8, GLUD2, PKM, GSTA4, IVD, ALDOC, ACO2	344	568	20495	2.6222926220111367	0.05043193566282722	0.025873588627280834	0.025873588627280834
KEGG_PATHWAY	hsa00020:Citrate cycle (TCA cycle)	7	1.7766497461928936	3.695518367319301E-5	FH, MDH1, MDH2, IDH2, OGDH, ACO2, DLD	178	30	8156	10.691385767790262	0.01025771385058949	0.005155248122410425	0.0051367705305738285
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	15	3.807106598984772	5.812867969718712E-5	PCSK1, BECN1, TRPA1, STAT1, GSS, PTGS2, DUSP6, ASS1, TXN2, MAS1, SCN11A, SST, APEX1, LTA, CD38	323	241	19256	3.710545585344861	0.1037336240806479	0.05475721627475027	0.0546118945755073
UP_KW_BIOLOGICAL_PROCESS	KW-0816~Tricarboxylic acid cycle	6	1.5228426395939088	9.679961952362228E-5	FH, MDH1, MDH2, IDH2, ACO2, MDH1B	207	26	11187	12.471571906354516	0.009825450828982008	0.009873561191409473	0.009776761571885851
KEGG_PATHWAY	hsa01100:Metabolic pathways	55	13.959390862944163	1.1186500807964779E-4	PYGB, ATP12A, HDDC3, NMRK2, CD38, ACP2, ATP6V1E1, SEPHS2, COX8A, SDS, HMGCS1, DHDH, BAAT, KMO, DDOST, PKM, MTHFD1, DCT, ACOX1, IVD, NDUFS3, CMPK2, ALDOC, CYP2E1, UQCRC2, DLD, FH, ECHS1, NDUFB5, GMPR2, ALOX12B, PTGS2, HSD17B8, DGUOK, NEU3, RDH12, PNPO, NDUFV1, MDH1, MDH2, GSS, IDH2, NDUFA1, ACADSB, ASS1, EXT1, GLUD1, CYP2C8, GLUD2, PDE10A, GSTA4, PNPLA3, OGDH, ACO2, NIT2	178	1539	8156	1.637499908739806	0.03073001446536494	0.010403445751407244	0.010366157415380696
GOTERM_BP_DIRECT	GO:0006091~generation of precursor metabolites and energy	7	1.7766497461928936	1.2579244141177674E-4	COX8A, PPP1R2, VGF, ACOX1, OGDH, ACO2, MCHR1	323	47	19256	8.878993478690468	0.2110149188194108	0.062260727483625565	0.06209549200728898
GOTERM_BP_DIRECT	GO:0042493~response to drug	16	4.060913705583756	1.321883810692687E-4	BECN1, HMGCS1, TRPA1, STAT1, PTGS2, DUSP6, ASS1, TXN2, MAS1, SCN11A, SST, APEX1, CRH, LTA, CD38, UQCRC2	323	293	19256	3.2554866387007473	0.22046631021002316	0.062260727483625565	0.06209549200728898
