"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"36.00000000000001","pp","CREBBP (pp) FOXO4","false","pp","CREBBP (pp) FOXO4",,"0.9","0.696",,"0.98","0.397"
"40.033333333333346","pp","CREBBP (pp) GPS2","false","pp","CREBBP (pp) GPS2",,,,,"0.577","0.578"
"80.9","pp","CREBBP (pp) NCOA6","false","pp","CREBBP (pp) NCOA6","0.223","0.6","0.836",,"0.975","0.572"
"42.36666666666668","pp","CREBBP (pp) MED11","false","pp","CREBBP (pp) MED11","0.084","0.6",,,"0.617",
"69.06666666666666","pp","CREBBP (pp) RELA","false","pp","CREBBP (pp) RELA","0.109","0.9","0.924",,"0.999","0.986"
"39.30952380952381","pp","CREBBP (pp) EP300","false","pp","CREBBP (pp) EP300","0.836","0.9","0.805",,"0.996","0.082"
"83.1357142857143","pp","CREBBP (pp) MAX","false","pp","CREBBP (pp) MAX","0.089","0.9","0.102",,"0.918","0.118"
"81.75000000000001","pp","CREBBP (pp) HIF3A","false","pp","CREBBP (pp) HIF3A",,"0.6","0.078",,"0.659","0.151"
"40.03333333333335","pp","CREBBP (pp) HDAC4","false","pp","CREBBP (pp) HDAC4","0.063","0.65","0.171",,"0.849","0.511"
"46.63333333333335","pp","CREBBP (pp) SPEN","false","pp","CREBBP (pp) SPEN","0.235",,,,"0.404","0.252"
"84.40000000000002","pp","CREBBP (pp) ATF4","false","pp","CREBBP (pp) ATF4",,"0.8","0.808",,"0.976","0.435"
"60.471428571428596","pp","CREBBP (pp) TCF12","false","pp","CREBBP (pp) TCF12","0.063",,"0.86",,"0.884","0.186"
"85.40238095238095","pp","CREBBP (pp) TRRAP","false","pp","CREBBP (pp) TRRAP","0.096",,"0.39",,"0.734","0.558"
"154.51666666666668","pp","CREBBP (pp) NSD1","false","pp","CREBBP (pp) NSD1","0.144",,"0.102",,"0.535","0.444"
"87.06666666666666","pp","CREBBP (pp) NFATC1","false","pp","CREBBP (pp) NFATC1",,"0.9","0.149",,"0.949","0.448"
"31.866666666666656","pp","CREBBP (pp) RXRA","false","pp","CREBBP (pp) RXRA","0.105","0.9","0.813",,"0.986","0.301"
"85.87619047619047","pp","CREBBP (pp) SMAD4","false","pp","CREBBP (pp) SMAD4","0.07","0.9","0.498",,"0.992","0.854"
"79.36666666666666","pp","TCF12 (pp) DP2","false","pp","TCF12 (pp) DP2","0.062",,"0.249",,"0.447","0.278"
"6.0","pp","ZNF785 (pp) ZFHX2","false","pp","ZNF785 (pp) ZFHX2",,,"0.078",,"0.446","0.424"
"136.0","pp","RBM14 (pp) NCOA6","false","pp","RBM14 (pp) NCOA6",,,"0.27",,"0.929","0.907"
"49.333333333333364","pp","CCDC101 (pp) TAF3","false","pp","CCDC101 (pp) TAF3","0.054",,"0.071",,"0.562","0.542"
"86.66666666666666","pp","CCDC101 (pp) TRRAP","false","pp","CCDC101 (pp) TRRAP","0.069","0.9","0.954",,"0.998","0.777"
"136.0","pp","LHX4 (pp) SMAD4","false","pp","LHX4 (pp) SMAD4",,,"0.412",,"0.47","0.137"
"18.566666666666663","pp","GPS2 (pp) RXRA","false","pp","GPS2 (pp) RXRA","0.062","0.6",,,"0.753","0.397"
"313.3666666666667","pp","NSD1 (pp) PHF21A","false","pp","NSD1 (pp) PHF21A","0.086",,"0.153",,"0.449","0.346"
"68.88333333333333","pp","NSD1 (pp) RXRA","false","pp","NSD1 (pp) RXRA",,,"0.504",,"0.559","0.148"
"268.0","pp","ZMYND8 (pp) ZNF592","false","pp","ZMYND8 (pp) ZNF592","0.084",,"0.68",,"0.94","0.813"
"136.0","pp","NRIP2 (pp) ZNF592","false","pp","NRIP2 (pp) ZNF592","0.065",,"0.056",,"0.457","0.434"
"15.166666666666666","pp","HDAC4 (pp) JDP2","false","pp","HDAC4 (pp) JDP2","0.062",,"0.364",,"0.457","0.165"
"91.66666666666667","pp","HDAC4 (pp) CTBP2","false","pp","HDAC4 (pp) CTBP2",,,"0.059",,"0.488","0.478"
"32.8","pp","HDAC4 (pp) ATF4","false","pp","HDAC4 (pp) ATF4",,,,,"0.776","0.776"
"32.13333333333334","pp","HDAC4 (pp) NFATC1","false","pp","HDAC4 (pp) NFATC1","0.049",,"0.27",,"0.474","0.304"
"19.633333333333333","pp","HDAC4 (pp) ZBTB16","false","pp","HDAC4 (pp) ZBTB16",,,"0.701",,"0.93","0.778"
"9.833333333333332","pp","ZBTB16 (pp) BMI1","false","pp","ZBTB16 (pp) BMI1",,,"0.494",,"0.716","0.463"
"21.96666666666666","pp","ZBTB16 (pp) RXRA","false","pp","ZBTB16 (pp) RXRA",,,"0.615",,"0.667","0.173"
"136.0","pp","SALL1 (pp) POU5F1B","false","pp","SALL1 (pp) POU5F1B","0.062",,"0.531",,"0.553","0.066"
"6.0","pp","ZNF600 (pp) ZNF69","false","pp","ZNF600 (pp) ZNF69",,,,,"0.426","0.426"
"136.0","pp","SMAD4 (pp) TBX6","false","pp","SMAD4 (pp) TBX6",,,"0.297",,"0.532","0.362"
"20.785714285714285","pp","SMAD4 (pp) BMI1","false","pp","SMAD4 (pp) BMI1","0.175",,,,"0.42","0.326"
"77.54285714285714","pp","SMAD4 (pp) MAX","false","pp","SMAD4 (pp) MAX",,"0.9","0.281",,"0.93","0.112"
"55.56666666666667","pp","SMAD4 (pp) RBL1","false","pp","SMAD4 (pp) RBL1","0.062","0.9","0.27",,"0.978","0.729"
"13.333333333333334","pp","SMAD4 (pp) FOXO4","false","pp","SMAD4 (pp) FOXO4","0.062","0.9","0.319",,"0.943","0.218"
"26.666666666666668","pp","ING5 (pp) TRRAP","false","pp","ING5 (pp) TRRAP","0.086",,"0.609",,"0.774","0.419"
"31.8","pp","NCOA6 (pp) RXRA","false","pp","NCOA6 (pp) RXRA",,"0.6","0.877",,"0.965","0.354"
"5.666666666666666","pp","NCOA6 (pp) SPEN","false","pp","NCOA6 (pp) SPEN","0.18",,,,"0.521","0.44"
"11.233333333333333","pp","NFKB1 (pp) RXRA","false","pp","NFKB1 (pp) RXRA","0.046",,"0.282",,"0.506","0.337"
"5.0","pp","NFKB1 (pp) RELA","false","pp","NFKB1 (pp) RELA","0.134","0.9","0.999",,"0.999","0.254"
"32.63333333333333","pp","NFKB1 (pp) CREBBP","false","pp","NFKB1 (pp) CREBBP","0.047","0.9","0.06",,"0.969","0.697"
"58.86666666666667","pp","NFKB1 (pp) EP300","false","pp","NFKB1 (pp) EP300",,"0.9","0.874",,"0.992","0.439"
"12.733333333333334","pp","NFKB1 (pp) HDAC4","false","pp","NFKB1 (pp) HDAC4",,,"0.32",,"0.424","0.188"
"136.0","pp","LCOR (pp) PHF19","false","pp","LCOR (pp) PHF19",,,"0.128",,"0.519","0.471"
"136.0","pp","IRF2BP2 (pp) NFATC1","false","pp","IRF2BP2 (pp) NFATC1",,,,,"0.436","0.436"
"6.0","pp","ZFHX2 (pp) ZNF701","false","pp","ZFHX2 (pp) ZNF701",,,"0.078",,"0.448","0.426"
"6.0","pp","ZFHX2 (pp) ZNF524","false","pp","ZFHX2 (pp) ZNF524",,,"0.078",,"0.435","0.413"
"25.833333333333332","pp","ETV4 (pp) SMAD4","false","pp","ETV4 (pp) SMAD4",,,"0.255",,"0.411","0.242"
"2.0","pp","CBFA2T2 (pp) ZNF652","false","pp","CBFA2T2 (pp) ZNF652",,,"0.282",,"0.409","0.211"
"102.0952380952381","pp","MGA (pp) TRRAP","false","pp","MGA (pp) TRRAP","0.06",,"0.388",,"0.4",
"100.04761904761907","pp","MGA (pp) TCF12","false","pp","MGA (pp) TCF12",,,"0.395",,"0.403","0.055"
"396.0","pp","MGA (pp) ZMYND8","false","pp","MGA (pp) ZMYND8",,,"0.554",,"0.641","0.23"
"293.92857142857144","pp","MGA (pp) CREBBP","false","pp","MGA (pp) CREBBP","0.063",,"0.389",,"0.409","0.051"
"42.83333333333336","pp","MGA (pp) MXD4","false","pp","MGA (pp) MXD4",,,"0.1",,"0.518","0.487"
"59.23809523809524","pp","MGA (pp) MAX","false","pp","MGA (pp) MAX",,"0.9","0.696",,"0.985","0.568"
"77.68333333333335","pp","LIMD1 (pp) HIF3A","false","pp","LIMD1 (pp) HIF3A",,"0.6",,,"0.6",
"84.20000000000002","pp","VSX1 (pp) NSD1","false","pp","VSX1 (pp) NSD1",,,,,"0.448","0.449"
"33.56666666666666","pp","VSX1 (pp) BANP","false","pp","VSX1 (pp) BANP",,,,,"0.463","0.464"
"32.833333333333336","pp","MAX (pp) TRRAP","false","pp","MAX (pp) TRRAP",,"0.9","0.845",,"0.989","0.377"
"268.0","pp","PER1 (pp) TIMELESS","false","pp","PER1 (pp) TIMELESS","0.062","0.9","0.81",,"0.992","0.606"
"136.0","pp","PER1 (pp) CIPC","false","pp","PER1 (pp) CIPC",,,,,"0.461","0.462"
"87.16666666666667","pp","EP300 (pp) PKNOX1","false","pp","EP300 (pp) PKNOX1",,"0.9","0.07",,"0.912","0.138"
"166.29999999999998","pp","EP300 (pp) SMAD4","false","pp","EP300 (pp) SMAD4","0.062","0.9","0.883",,"0.999","0.987"
"136.0","pp","EP300 (pp) NUPR1","false","pp","EP300 (pp) NUPR1",,,"0.3",,"0.777","0.694"
"136.0","pp","EP300 (pp) CALCOCO1","false","pp","EP300 (pp) CALCOCO1",,,"0.486",,"0.55","0.162"
"472.89999999999986","pp","EP300 (pp) CTBP2","false","pp","EP300 (pp) CTBP2",,,"0.633",,"0.918","0.786"
"110.16666666666667","pp","EP300 (pp) ETV4","false","pp","EP300 (pp) ETV4",,,"0.302",,"0.492","0.302"
"223.16666666666674","pp","EP300 (pp) NSD1","false","pp","EP300 (pp) NSD1","0.164",,"0.102",,"0.541","0.438"
"148.23333333333332","pp","EP300 (pp) BANP","false","pp","EP300 (pp) BANP",,,"0.27",,"0.5","0.343"
"146.13333333333333","pp","EP300 (pp) ATF4","false","pp","EP300 (pp) ATF4",,"0.8","0.757",,"0.969","0.432"
"109.33333333333334","pp","EP300 (pp) ING5","false","pp","EP300 (pp) ING5","0.067","0.6","0.317",,"0.92","0.724"
"148.8","pp","EP300 (pp) NFATC1","false","pp","EP300 (pp) NFATC1",,,"0.616",,"0.787","0.468"
"115.29999999999995","pp","EP300 (pp) TCF12","false","pp","EP300 (pp) TCF12","0.063","0.8","0.682",,"0.958","0.391"
"83.70000000000002","pp","EP300 (pp) SPEN","false","pp","EP300 (pp) SPEN","0.573","0.9",,,"0.963","0.217"
"333.38571428571436","pp","EP300 (pp) TAF3","false","pp","EP300 (pp) TAF3","0.067",,"0.245",,"0.451","0.283"
"175.42857142857136","pp","EP300 (pp) TRRAP","false","pp","EP300 (pp) TRRAP","0.123",,"0.264",,"0.725","0.608"
"136.0","pp","EP300 (pp) KLF15","false","pp","EP300 (pp) KLF15",,,"0.335",,"0.955","0.936"
"54.266666666666666","pp","EP300 (pp) HDAC4","false","pp","EP300 (pp) HDAC4","0.062","0.65","0.171",,"0.903","0.688"
"51.76666666666667","pp","EP300 (pp) RXRA","false","pp","EP300 (pp) RXRA",,"0.9","0.316",,"0.952","0.368"
"88.03333333333333","pp","EP300 (pp) ZBTB16","false","pp","EP300 (pp) ZBTB16",,,"0.532",,"0.661","0.306"
"211.79523809523806","pp","EP300 (pp) MAX","false","pp","EP300 (pp) MAX","0.062","0.9","0.696",,"0.977","0.3"
"133.13333333333333","pp","EP300 (pp) RELA","false","pp","EP300 (pp) RELA",,"0.9","0.922",,"0.999","0.988"
"127.26666666666662","pp","EP300 (pp) HIF3A","false","pp","EP300 (pp) HIF3A",,"0.6","0.078",,"0.783","0.459"
"206.30000000000007","pp","EP300 (pp) RBL1","false","pp","EP300 (pp) RBL1","0.062",,"0.427",,"0.69","0.47"
"145.46666666666664","pp","EP300 (pp) NCOA6","false","pp","EP300 (pp) NCOA6","0.494","0.6","0.27",,"0.931","0.591"
"116.5","pp","EP300 (pp) ID3","false","pp","EP300 (pp) ID3",,"0.9",,,"0.917","0.207"
"93.07142857142857","pp","EP300 (pp) BMI1","false","pp","EP300 (pp) BMI1","0.062",,"0.155",,"0.432","0.341"
"67.66666666666667","pp","EP300 (pp) FOXO4","false","pp","EP300 (pp) FOXO4","0.062","0.9","0.103",,"0.942","0.398"
"96.16666666666667","pp","EP300 (pp) JDP2","false","pp","EP300 (pp) JDP2","0.049",,"0.225",,"0.425","0.283"
"76.39999999999998","pp","EP300 (pp) MED11","false","pp","EP300 (pp) MED11",,"0.6",,,"0.6",
"74.06666666666666","pp","EP300 (pp) GPS2","false","pp","EP300 (pp) GPS2",,"0.65","0.27",,"0.876","0.554"
"136.0","pp","RELA (pp) IKZF2","false","pp","RELA (pp) IKZF2",,,"0.056",,"0.489","0.481"
"22.46666666666667","pp","RELA (pp) RXRA","false","pp","RELA (pp) RXRA","0.09",,"0.733",,"0.786","0.192"
"5.999999999999999","pp","ATF4 (pp) GPS2","false","pp","ATF4 (pp) GPS2",,,"0.511",,"0.511",
"21.499999999999993","pp","PKNOX1 (pp) RXRA","false","pp","PKNOX1 (pp) RXRA",,"0.9","0.058",,"0.911","0.139"
"10.5","pp","PKNOX1 (pp) NCOA6","false","pp","PKNOX1 (pp) NCOA6",,"0.6",,,"0.61","0.067"
"27.83333333333333","pp","PKNOX1 (pp) SMAD4","false","pp","PKNOX1 (pp) SMAD4","0.062",,"0.182",,"0.543","0.453"
"72.23333333333335","pp","CTBP2 (pp) VSX1","false","pp","CTBP2 (pp) VSX1",,,"0.274",,"0.475","0.307"
"268.0","pp","CTBP2 (pp) POU5F1B","false","pp","CTBP2 (pp) POU5F1B","0.062",,"0.617",,"0.627","0.046"
"268.0","pp","CTBP2 (pp) LCOR","false","pp","CTBP2 (pp) LCOR",,,"0.879",,"0.909","0.281"
"83.33333333333334","pp","CTBP2 (pp) TCF12","false","pp","CTBP2 (pp) TCF12","0.062",,,,"0.705","0.699"
"4.666666666666667","pp","AJUBA (pp) HIF3A","false","pp","AJUBA (pp) HIF3A",,"0.6",,,"0.6",
"58.31666666666666","pp","AJUBA (pp) LIMD1","false","pp","AJUBA (pp) LIMD1","0.062","0.8",,,"0.822","0.13"
"37.25","pp","AJUBA (pp) RXRA","false","pp","AJUBA (pp) RXRA",,"0.6","0.078",,"0.621","0.055"
"149.73333333333332","pp","AJUBA (pp) EP300","false","pp","AJUBA (pp) EP300",,,"0.386",,"0.407","0.074"
"182.0071428571429","pp","MXI1 (pp) MAX","false","pp","MXI1 (pp) MAX",,,"0.905",,"0.975","0.747"
"58.54047619047617","pp","MXI1 (pp) ZNF143","false","pp","MXI1 (pp) ZNF143",,,"0.058",,"0.468","0.459"
"136.0","pp","SIRT1 (pp) JMJD6","false","pp","SIRT1 (pp) JMJD6",,,,,"0.451","0.451"
"76.56666666666666","pp","SIRT1 (pp) RXRA","false","pp","SIRT1 (pp) RXRA",,,"0.182",,"0.533","0.453"
"98.83333333333333","pp","SIRT1 (pp) SMAD4","false","pp","SIRT1 (pp) SMAD4","0.203",,"0.057",,"0.507","0.398"
"136.0","pp","SIRT1 (pp) TFEB","false","pp","SIRT1 (pp) TFEB",,,"0.061",,"0.442","0.431"
"24.66666666666667","pp","SIRT1 (pp) JDP2","false","pp","SIRT1 (pp) JDP2",,,"0.057",,"0.559","0.552"
"18.999999999999996","pp","SIRT1 (pp) FOXO4","false","pp","SIRT1 (pp) FOXO4",,"0.9","0.354",,"0.992","0.889"
"396.0","pp","SIRT1 (pp) TIMELESS","false","pp","SIRT1 (pp) TIMELESS","0.063",,"0.245",,"0.538","0.4"
