ID,Accession,Biosample.accession,file_name,Assay.name,Assay.title,Biosample.term.name,Organism,Life.stage,Biosample.age,Biological.replicate,Technical.replicate
/experiments/ENCSR706NYL/,ENCSR706NYL,ENCBS606ENA,ENCFF563JCI,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR669GBC/,ENCSR669GBC,ENCBS554PHI,ENCFF469DDY,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,87 years,1,1
/experiments/ENCSR753BWD/,ENCSR753BWD,ENCBS201ZQN,ENCFF324OWT,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,87 years,1,1
/experiments/ENCSR922XPO/,ENCSR922XPO,ENCBS963SPU,ENCFF614VLQ,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR920OZR/,ENCSR920OZR,ENCBS786GUA,ENCFF770BLB,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR209TIR/,ENCSR209TIR,ENCBS544WUH,ENCFF128CDN,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR530ESE/,ENCSR530ESE,ENCBS275EQQ,ENCFF421AEY,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,84 years,1,1
/experiments/ENCSR275JSL/,ENCSR275JSL,ENCBS542OFI,ENCFF970MGQ,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,73 years,1,1
/experiments/ENCSR875MVZ/,ENCSR875MVZ,ENCBS644WSW,ENCFF899VMA,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR530OOO/,ENCSR530OOO,ENCBS876ZME,ENCFF787TLF,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR001QSI/,ENCSR001QSI,ENCBS120DQN,ENCFF533JMS,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,80 years,1,1
