ID,Accession,Biosample.accession,file_name,Assay.name,Assay.title,Biosample.term.name,Organism,Life.stage,Biosample.age,Biological.replicate,Technical.replicate
/experiments/ENCSR795GYH/,ENCSR795GYH,ENCBS179KFU,ENCFF248LJB,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,85 years,1,1
/experiments/ENCSR365ARV/,ENCSR365ARV,ENCBS075IEY,ENCFF284VFV,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR198QAJ/,ENCSR198QAJ,ENCBS833CJR,ENCFF762VOE,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR863VFU/,ENCSR863VFU,ENCBS105DDE,ENCFF586KEK,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,88 years,1,1
/experiments/ENCSR078WNY/,ENCSR078WNY,ENCBS804NKI,ENCFF872OGS,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,78 years,1,1
/experiments/ENCSR521ZFP/,ENCSR521ZFP,ENCBS801JBH,ENCFF847QGH,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR755FNG/,ENCSR755FNG,ENCBS914ACI,ENCFF325VHJ,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR007SVQ/,ENCSR007SVQ,ENCBS875BBD,ENCFF203FBD,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,86 years,1,1
/experiments/ENCSR563SJY/,ENCSR563SJY,ENCBS135ECM,ENCFF647WIN,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,87 years,1,1
/experiments/ENCSR585EUI/,ENCSR585EUI,ENCBS952NTO,ENCFF742RKK,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,82 years,1,1
/experiments/ENCSR997XXK/,ENCSR997XXK,ENCBS492ELW,ENCFF257ZGZ,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,86 years,1,1
/experiments/ENCSR776PQP/,ENCSR776PQP,ENCBS322OXY,ENCFF870FXA,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR446QMB/,ENCSR446QMB,ENCBS166GKO,ENCFF094UQH,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,85 years,1,1
