ID,Accession,Biosample.accession,file_name,Assay.name,Assay.title,Biosample.term.name,Organism,Life.stage,Biosample.age,Biological.replicate,Technical.replicate
/experiments/ENCSR795GYH/,ENCSR795GYH,ENCBS179KFU,ENCFF248LJB,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,85 years,1,1
/experiments/ENCSR158IHB/,ENCSR158IHB,ENCBS721KTA,ENCFF389KXF,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,75 years,1,1
/experiments/ENCSR562BUN/,ENCSR562BUN,ENCBS819UHF,ENCFF166SFX,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR944UJZ/,ENCSR944UJZ,ENCBS439FJF,ENCFF594WID,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,87 years,1,1
/experiments/ENCSR579KTN/,ENCSR579KTN,ENCBS168FVU,ENCFF345KPY,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,83 years,1,1
/experiments/ENCSR365ARV/,ENCSR365ARV,ENCBS075IEY,ENCFF284VFV,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR061HMO/,ENCSR061HMO,ENCBS742MVD,ENCFF311IDM,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR162SPJ/,ENCSR162SPJ,ENCBS819GGD,ENCFF108ZQE,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,77 years,1,1
/experiments/ENCSR443ASQ/,ENCSR443ASQ,ENCBS314RQJ,ENCFF213NBT,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,83 years,1,1
/experiments/ENCSR985WSV/,ENCSR985WSV,ENCBS967WLC,ENCFF574KNI,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,84 years,1,1
/experiments/ENCSR863VFU/,ENCSR863VFU,ENCBS105DDE,ENCFF586KEK,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,88 years,1,1
/experiments/ENCSR198QAJ/,ENCSR198QAJ,ENCBS833CJR,ENCFF762VOE,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR585EUI/,ENCSR585EUI,ENCBS952NTO,ENCFF742RKK,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,82 years,1,1
/experiments/ENCSR563SJY/,ENCSR563SJY,ENCBS135ECM,ENCFF647WIN,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,87 years,1,1
/experiments/ENCSR446QMB/,ENCSR446QMB,ENCBS166GKO,ENCFF094UQH,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,85 years,1,1
/experiments/ENCSR019ICB/,ENCSR019ICB,ENCBS377PCM,ENCFF822OZH,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR634JQK/,ENCSR634JQK,ENCBS253LWF,ENCFF042XFA,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR233IVG/,ENCSR233IVG,ENCBS943VMJ,ENCFF468ZUM,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,82 years,1,1
/experiments/ENCSR025BZY/,ENCSR025BZY,ENCBS771BVR,ENCFF259IAM,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,82 years,1,1
/experiments/ENCSR078WNY/,ENCSR078WNY,ENCBS804NKI,ENCFF872OGS,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,78 years,1,1
/experiments/ENCSR501XXE/,ENCSR501XXE,ENCBS540BVM,ENCFF621QOF,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR397GDU/,ENCSR397GDU,ENCBS687KKD,ENCFF780QZB,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR755FNG/,ENCSR755FNG,ENCBS914ACI,ENCFF325VHJ,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
/experiments/ENCSR290IHM/,ENCSR290IHM,ENCBS411JUI,ENCFF707GIJ,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,79 years,1,1
/experiments/ENCSR007SVQ/,ENCSR007SVQ,ENCBS875BBD,ENCFF203FBD,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,86 years,1,1
/experiments/ENCSR675UIU/,ENCSR675UIU,ENCBS904CGT,ENCFF905NDM,RNA-seq,total RNA-seq,middle frontal area 46,Homo sapiens,adult,90 or above years,1,1
