sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"LOC100996724","Unmatched","","","",""
"FLJ37453","Alias symbol","SPEN-AS1","SPEN antisense RNA 1","HGNC:55937","1p36.21"
"LINC01355","Approved symbol","LINC01355","long intergenic non-protein coding RNA 1355","HGNC:50584","1p36.12"
"LOC101928324","Unmatched","","","",""
"GJA9-MYCBP","Unmatched","","","",""
"FAAHP1","Approved symbol","FAAHP1","fatty acid amide hydrolase pseudogene 1","HGNC:50679","1p33"
"LOC100996251","Unmatched","","","",""
"LOC728989","Unmatched","","","",""
"HIST2H2BC","Previous symbol","H2BC20P","H2B clustered histone 20, pseudogene","HGNC:20516","1q21.2"
"FAM63A","Previous symbol","MINDY1","MINDY lysine 48 deubiquitinase 1","HGNC:25648","1q21.3"
"RRNAD1","Previous symbol","METTL25B","methyltransferase like 25B","HGNC:24273","1q23.1"
"C1orf111","Previous symbol","SPATA46","spermatogenesis associated 46","HGNC:27648","1q23.3"
"RPS10P7","Approved symbol","RPS10P7","ribosomal protein S10 pseudogene 7","HGNC:36423","1q32.1"
"LINC00260","Approved symbol","LINC00260","long intergenic non-protein coding RNA 260","HGNC:28770","1q32.1"
"SERTAD4-AS1","Approved symbol","SERTAD4-AS1","SERTAD4 antisense RNA 1","HGNC:32019","1q32.2"
"SNRPD2P2","Approved symbol","SNRPD2P2","small nuclear ribonucleoprotein D2 pseudogene 2","HGNC:38598","1q42.2"
"LOC101927043","Unmatched","","","",""
"LOC150776","Unmatched","","","",""
"AHSA2","Previous symbol","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene","HGNC:20437","2p15"
"MGC16025","Unmatched","","","",""
"BOK-AS1","Approved symbol","BOK-AS1","BOK antisense RNA 1","HGNC:35125","2q37.3"
"FAM19A4","Previous symbol","TAFA4","TAFA chemokine like family member 4","HGNC:21591","3p14.1"
"LOC101929054","Unmatched","","","",""
"LOC101929754","Unmatched","","","",""
"LOC101930370","Unmatched","","","",""
"LOC100507487","Unmatched","","","",""
"LOC100129917","Unmatched","","","",""
"LOC100505912","Unmatched","","","",""
"LINC01094","Approved symbol","LINC01094","long intergenic non-protein coding RNA 1094","HGNC:49219","4q21.21"
"LOC101929284","Unmatched","","","",""
"FAM173B","Previous symbol","ATPSCKMT","ATP synthase c subunit lysine N-methyltransferase","HGNC:27029","5p15.2"
"LOC441081","Unmatched","","","",""
"LINC01338","Approved symbol","LINC01338","long intergenic non-protein coding RNA 1338","HGNC:50547","5q14.2"
"LOC644285","Unmatched","","","",""
"HIST1H4B","Previous symbol","H4C2","H4 clustered histone 2","HGNC:4789","6p22.2"
"HCG8","Previous symbol","POLR1HASP","POLR1H antisense, pseudogene","HGNC:13924","6p22.1"
"LOC285847","Unmatched","","","",""
"LOC401261","Unmatched","","","",""
"BRD7P3","Approved symbol","BRD7P3","bromodomain containing 7 pseudogene 3","HGNC:24171","6q22.31"
"TCTE3","Previous symbol","DYNLT2","dynein light chain Tctex-type 2","HGNC:11695","6q27"
"LOC101927354","Unmatched","","","",""
"LOC102724484","Unmatched","","","",""
"LOC646762","Unmatched","","","",""
