"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","distance.to.TSS","region","gene.name","ADO.pval","ADO.log2FC","ADO.status","OY.pval","OY.log2FC","OY.status","anova.pval"
"chr1",935306,935594,0,0,44,27,81,36,52,34,26,39,39,46,44,60,42,31,33,45,0,30,0,48,15,0,25,36,0,21,1874,"upstream","RP11-54O7.17",0.00975306676564948,-1.24298846363204,"loss",0.533329629532704,0.241817919924098,"not significant",0.035871306428713
"chr1",1821437,1821459,55,33,21,22,72,44,35,0,47,45,47,75,67,44,86,26,49,62,28,39,63,0,0,0,0,55,0,452,1450,"upstream","RP1-140A9.1",0.0150505137839449,-1.41464752899916,"loss",0.0503743143298408,0.636552635674371,"not significant",0.00910515388052562
"chr1",2516620,2516677,34,37,25,24,69,0,49,39,33,39,26,52,62,49,71,0,53,41,27,0,33,0,26,40,0,0,45,866,1252,"upstream","FAM213B",0.023368846007252,-1.16485401189489,"loss",0.247324445732236,0.299039359289287,"not significant",0.047221356131171
"chr1",9242138,9242146,0,24,0,26,34,21,20,21,32,25,32,26,26,21,23,33,30,48,0,0,32,30,15,0,0,20,20,1852,116,"upstream","RP3-510D11.2",0.00847612667963123,-1.1870855526005,"loss",0.0358267699374998,0.69770071186157,"gain",0.0105731044037519
"chr1",16970768,16970782,114,123,72,0,134,74,106,0,143,128,160,82,128,141,186,57,97,92,0,85,151,75,63,72,0,82,0,3211,1286,"upstream","MST1P2",0.0140508278014739,-1.04915549345218,"loss",0.082845133269635,0.640536258344318,"not significant",0.0235593845742073
"chr1",33896645,33896660,40,40,0,0,109,81,54,41,41,34,70,94,73,118,118,51,58,91,23,28,52,50,26,39,51,53,44,7105,0,"overlapStart","PHC2",0.0112974013302808,-0.879191528158544,"loss",0.0907051854490806,0.713213711232895,"not significant",0.0287684166719883
"chr1",35733977,35733981,46,63,90,50,86,68,0,0,48,36,72,113,88,71,73,56,70,103,24,0,0,46,39,62,0,31,0,7296,3893,"upstream","RN7SL136P",0.00119781171922487,-1.70153807757053,"loss",0.168227270863527,0.53518853035205,"not significant",0.00202810224984759
"chr1",36173213,36173222,39,0,64,25,38,42,38,52,54,33,18,28,41,65,56,35,51,55,0,0,63,0,27,0,0,40,34,7346,1337,"upstream","RN7SL281P",0.0234927555420828,-1.25862922671379,"loss",0.563373230524926,0.227087709427403,"not significant",0.0248215154755659
"chr1",37791558,37791581,40,15,11,18,0,23,0,0,15,22,34,0,0,17,29,16,0,27,35,17,30,33,16,39,29,28,30,7759,856,"upstream","RP5-1180C18.1",0.0217758778295568,0.835699547751566,"gain",0.618465256712094,0.258533013598853,"not significant",0.0257374889985949
"chr1",45240800,45240844,95,61,68,62,129,0,79,58,41,81,55,85,91,78,126,63,107,110,0,70,84,0,69,0,63,0,0,9600,78,"upstream","RPS8",0.0106255041332595,-1.3972093823269,"loss",0.40824534942182,0.278631260884812,"not significant",0.00832402972239381
"chr1",46597833,46597855,54,0,0,31,84,48,70,43,52,73,51,79,94,91,61,34,34,59,36,34,50,0,0,0,39,0,73,9883,2347,"upstream","RP4-533D7.5",0.0108355581426493,-1.284636660319,"loss",0.119583789045462,0.606370439758449,"not significant",0.0169281418664571
"chr1",47798960,47798964,51,46,40,41,91,67,56,78,60,80,0,108,74,80,96,56,106,89,0,58,87,0,0,0,50,76,0,10149,504,"upstream","CMPK1",0.0161222404564423,-1.31466977365983,"loss",0.0752588843545984,0.350376867006389,"not significant",0.0135422235080126
"chr1",89149342,89149344,83,0,0,64,89,43,63,71,42,57,73,76,40,106,128,47,73,81,41,0,63,0,47,46,0,0,61,12481,560,"upstream","PKN2",0.0109413228386251,-1.33462148808281,"loss",0.398127810909076,0.48592577064431,"not significant",0.0159695210398066
"chr1",94374457,94375102,66,51,62,35,142,86,109,66,72,57,95,113,109,88,147,68,117,100,45,56,73,55,28,58,46,77,69,12901,0,"overlapStart","GCLM",0.00210006711554699,-0.778034348387383,"loss",0.109378018383385,0.324824604798993,"not significant",0.0104320861978883
"chr1",95582384,95582530,110,49,84,39,66,71,53,51,85,82,50,107,44,71,107,37,53,0,0,46,53,50,36,0,0,0,0,13012,363,"upstream","TMEM56",0.0127253532829109,-1.62949840132299,"loss",0.964509760067731,-0.0397122758499484,"not significant",0.00309714764382298
"chr1",104068365,104068369,61,44,0,25,113,53,0,84,53,99,48,81,91,91,89,46,62,104,0,68,56,58,0,0,66,44,0,13255,259,"upstream","RP11-153F1.1",0.0123348578666697,-1.23560117571068,"loss",0.0908723918356676,0.685645124817439,"not significant",0.0160839415636457
"chr1",110090701,110090725,50,44,0,30,80,29,42,61,69,46,27,49,62,65,57,0,79,42,27,36,61,0,24,0,29,0,0,13777,4241,"upstream","RP5-1160K1.8",0.0134221498148251,-1.33458766685883,"loss",0.449633946553667,0.239950792720753,"not significant",0.0243062749759886
"chr1",113615188,113615224,40,0,0,39,101,49,0,52,51,48,68,91,62,88,75,24,63,54,0,40,65,38,32,0,0,23,67,14445,606,"upstream","LRIG2",0.0158260831274631,-1.08355057596664,"loss",0.045143322126783,0.82904780375396,"gain",0.0310359037009141
"chr1",117603000,117603059,21,30,0,15,32,34,24,47,49,26,0,48,22,40,44,29,35,31,0,16,0,27,17,0,0,13,35,14807,887,"upstream","RP11-27K13.3",0.0106255041332595,-1.43295940727611,"loss",0.247813385247248,0.352585990812086,"not significant",0.0137478562693243
"chr1",146556331,146556332,31,32,0,48,37,21,54,28,71,28,46,59,58,42,79,32,0,52,25,0,54,0,0,0,26,16,30,15308,1203,"upstream","RP11-325P15.2",0.00946386557074231,-1.47687090693953,"loss",0.109194645984455,0.573807090871528,"not significant",0.0117247936969284
"chr1",154928592,154928847,23,17,15,19,20,30,11,16,20,17,0,0,0,23,29,0,0,18,16,29,28,26,25,32,17,13,43,16606,0,"overlapStart","PBXIP1",0.0288961043944285,1.24973989514085,"gain",0.242388458890057,-0.818865847811294,"not significant",0.00894370883790154
"chr1",186344035,186344041,49,62,0,59,75,0,58,88,64,73,0,115,110,64,126,74,91,88,0,59,70,69,60,58,0,61,0,20497,848,"upstream","C1orf27",0.00677853231106923,-0.942421166288265,"loss",0.0324284765410237,0.719892080807265,"gain",0.0426033704828235
